ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5	2,0,0,0	9,2,1,6	0,0,0,0	1,0,0,0	41	39
6	2,0,0,3	0,0,0,0	1,0,0,0	2,0,1,0	47	39
9	106,63,115,81	139,52,78,62	52,67,45,91	65,67,71,83	47	39
10	47,31,29,20	12,29,32,13	33,46,53,48	12,25,12,20	41	39
12	23,15,13,3	3,0,0,0	4,12,11,8	0,0,0,0	78	39
13	14,1,10,6	8,10,10,0	3,3,7,3	5,5,2,15	41	39
14	17,21,16,24	0,0,0,1	9,16,23,54	0,0,0,0	78	39
19	15,15,9,14	9,2,0,2	7,10,8,20	5,5,0,2	42	39
20	1,1,0,0	0,0,7,0	0,10,0,9	1,0,2,2	78	39
21	3486,1846,2565,1754	5,0,14,0	1846,2202,1621,2218	1,2,3,4	78	39
22	5,1,5,0	0,0,15,1	0,8,9,2	6,0,0,12	71	39
23	0,3,2,0	4,2,8,3	3,0,0,0	4,14,3,2	78	39
24	2,0,8,8	2,7,13,7	0,4,0,2	5,7,3,0	78	39
30	0,7,1,4	20,20,10,17	0,2,0,0	29,12,16,23	70	39
31	0,5,9,0	17,6,41,18	0,0,1,0	16,14,17,24	56	39
32	7,0,10,0	13,4,15,5	2,0,1,9	4,0,10,9	58	39
33	16,2,5,4	13,4,15,5	2,2,1,4	4,0,10,9	78	39
34	9,2,0,4	0,0,5,0	0,2,0,0	0,0,0,5	58	39
36	67,30,48,47	69,76,133,62	37,75,11,46	64,76,61,43	78	39
37	67,31,51,41	69,76,133,62	43,62,15,58	64,76,61,43	78	39
38	58,9,28,25	7,0,0,9	47,36,32,48	2,13,1,1	78	39
39	34,14,16,5	3,4,4,8	20,5,14,20	0,0,0,0	78	39
40	3,0,0,0	3,1,5,0	0,0,0,0	8,0,4,6	78	39
42	41,21,33,30	36,7,17,13	12,34,24,23	7,28,16,10	65	39
43	42,21,37,30	8,8,10,14	17,34,27,23	6,16,0,0	68	39
44	37,7,21,13	8,8,10,14	12,28,19,10	6,16,0,0	41	39
45	56,32,76,30	29,4,18,22	47,29,42,40	9,18,8,19	41	39
48	8,2,3,0	0,0,0,0	3,0,5,0	0,0,0,5	42	39
50	37,11,36,26	0,7,7,6	17,18,16,16	9,0,0,7	41	39
51	2,6,2,0	4,0,4,0	0,0,0,0	4,0,3,1	78	39
52	53,39,63,43	61,64,69,53	58,50,12,52	28,42,44,42	41	39
56	24,60,10,20	0,0,2,0	37,49,14,28	0,0,0,0	78	39
58	77,60,73,46	0,5,0,0	72,94,31,47	0,0,0,0	45	39
59	1201,711,962,618	172,100,117,47	706,767,608,726	52,69,58,74	41	39
60	40,30,26,22	2,0,1,0	11,19,13,22	0,0,0,0	78	39
61	5,0,8,12	94,42,85,67	0,0,1,3	52,52,21,31	78	39
62	3,0,0,0	21,5,24,4	0,0,0,0	4,6,8,8	78	39
68	2,2,5,0	32,12,28,18	1,0,8,0	20,20,13,22	70	39
69	33,43,49,21	30,31,36,30	41,33,29,41	19,19,18,19	41	39
70	165,101,131,135	29,15,12,12	121,117,103,89	20,24,10,12	78	39
73	0,0,0,0	8,24,3,11	0,0,1,0	21,12,0,4	59	39
74	78,15,38,29	50,40,67,41	10,11,29,20	42,32,28,37	41	39
76	6,12,11,7	7,19,2,7	14,13,11,17	7,3,3,1	41	39
78	7,8,5,8	6,0,5,0	11,10,28,7	2,0,2,3	43	39
80	0,0,0,1	6,2,0,0	0,0,0,0	3,0,2,5	52	39
81	0,0,0,1	6,2,0,0	0,0,2,2	3,0,2,5	77	39
84	33,6,32,23	4,1,2,10	31,32,19,39	2,1,0,0	41	39
86	13,6,25,1	0,0,0,0	11,7,9,5	1,0,0,0	41	39
88	38,16,27,12	0,0,0,0	21,41,13,34	0,2,1,1	71	39
89	66,69,96,70	15,6,11,0	74,68,63,66	3,14,14,5	78	39
90	75,56,70,49	0,0,0,0	55,61,47,51	1,0,0,4	78	39
91	28,41,39,33	0,0,0,3	31,32,23,21	1,0,0,3	43	39
98	1,6,7,8	2,0,0,0	7,2,6,4	0,0,0,0	78	39
99	0,0,3,0	43,11,23,12	0,2,2,0	11,5,15,8	78	39
100	33,14,18,29	498,281,513,297	23,40,30,17	334,416,341,454	78	39
103	50,51,86,19	47,28,60,25	67,54,55,61	35,41,45,37	71	39
104	60,63,91,20	29,2,5,26	68,58,65,61	17,19,8,14	74	39
105	57,40,65,26	29,2,5,26	36,45,55,37	17,19,8,14	41	39
106	3,0,3,0	2,0,13,0	3,10,0,4	2,0,2,0	78	39
107	24,12,30,14	3,0,8,0	11,15,13,25	2,16,11,1	65	39
109	20,10,24,9	0,2,0,0	14,4,16,21	0,0,0,0	78	39
113	108,109,53,37	0,0,0,0	79,97,53,79	0,5,0,0	78	39
116	20,14,10,4	0,0,0,0	5,4,10,16	0,3,0,0	78	39
119	4,1,2,0	3,5,7,2	10,0,0,7	0,9,0,6	61	39
121	28,5,12,2	0,0,0,0	12,9,13,15	1,0,0,0	41	39
127	16,17,10,15	78,65,75,66	6,3,11,8	57,71,33,53	78	39
129	0,0,0,0	0,2,0,0	0,3,1,0	3,0,0,0	43	39
131	0,0,0,0	178,173,139,59	0,10,4,0	116,179,119,141	78	39
132	198,198,182,103	11,8,0,0	92,179,134,100	5,0,2,2	78	39
133	22,9,5,14	1,10,5,3	10,2,10,16	3,0,10,0	43	39
135	7,8,4,7	22,13,32,14	8,14,8,10	21,7,24,17	41	39
138	0,0,0,0	26,2,27,12	0,4,0,0	1,6,25,0	75	39
139	2,1,6,3	3,0,3,0	7,10,1,0	0,0,0,0	44	39
141	8,0,3,0	1,0,0,0	1,3,1,3	0,0,0,0	78	39
143	0,0,6,0	0,0,0,0	0,0,0,0	2,1,0,0	41	39
145	0,0,0,0	11,2,6,10	1,2,0,0	2,14,10,3	78	39
149	9,5,23,25	0,0,0,0	6,18,10,20	2,0,0,0	42	39
150	0,0,0,4	14,5,8,12	0,0,3,1	9,25,4,7	59	39
151	57,28,63,15	3,0,6,3	35,14,32,35	0,0,3,0	65	39
152	0,1,0,4	0,0,0,7	0,5,1,3	1,2,2,0	78	39
153	1,2,0,0	7,29,23,15	0,0,0,4	13,9,6,4	78	39
154	9,1,0,8	0,0,0,0	4,7,7,1	0,0,0,1	78	39
160	260,106,258,165	0,0,0,1	189,178,194,205	0,0,0,0	78	39
162	8,12,8,0	172,92,101,83	0,10,5,4	76,115,62,63	78	39
163	7,2,5,0	0,0,6,0	3,2,0,1	0,3,0,0	42	39
166	12,5,16,5	0,0,10,0	6,20,0,7	0,0,0,0	62	39
167	0,0,0,5	0,0,10,0	3,0,0,3	0,0,0,0	59	39
169	55,37,70,25	1,0,0,0	42,78,37,51	0,0,0,2	53	39
171	41,16,26,21	0,0,0,0	28,11,16,15	1,0,0,0	42	39
173	7,2,16,0	54,17,28,11	9,0,0,3	12,14,19,12	78	39
175	0,1,3,0	11,0,0,0	0,7,1,2	0,4,0,0	41	39
