ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	1298,590,814,568	4212,2297,3257,2055	467,441,462,602	2314,2470,1956,2762	78	78
3	5,0,14,0	4212,2297,3257,2055	3,2,3,4	2314,2470,1956,2762	78	78
4	13,14,22,12	4,2,13,7	5,21,12,10	6,2,4,7	78	78
5	1,3,2,0	0,0,0,0	5,0,0,0	1,0,0,0	78	78
6	18,19,11,0	37,11,36,29	17,2,6,28	17,18,16,16	78	78
8	8,1,0,3	0,1,0,0	8,7,30,2	1,2,1,1	78	71
9	4,1,0,0	15,18,29,20	7,0,12,3	41,10,27,10	78	78
10	729,439,692,437	533,336,528,343	468,512,345,456	343,330,363,399	78	78
11	63,24,29,20	53,33,52,46	50,59,49,32	50,34,53,34	78	78
12	0,2,0,6	5,0,0,0	0,0,0,0	0,0,5,1	78	78
17	2,0,3,3	157,77,165,94	1,0,6,0	75,131,94,92	78	78
20	0,1,11,2	63,44,70,60	27,21,8,21	305,297,233,272	56	58
24	4,5,6,11	43,32,47,26	9,18,12,4	26,22,18,19	78	78
27	117,67,109,42	187,107,145,125	69,50,47,117	109,162,119,146	78	78
28	17,2,14,17	37,22,33,32	10,17,11,13	17,13,13,28	78	78
29	17,2,14,17	0,0,0,0	10,17,11,13	1,0,1,0	78	78
30	4,0,0,0	0,0,6,0	0,0,0,1	0,4,0,0	78	78
31	2,5,0,0	0,3,15,5	0,0,6,17	3,0,3,3	78	78
33	2,0,0,10	1,9,6,0	3,0,5,2	0,0,0,0	78	78
35	18,11,16,13	16,9,12,11	17,9,11,12	10,25,12,9	78	78
36	16,10,11,18	46,12,38,13	26,13,25,19	11,20,11,14	78	78
40	10,14,28,28	40,38,36,24	39,18,18,8	39,27,30,24	78	78
41	12,7,17,8	100,93,108,54	4,7,7,11	143,96,84,126	78	78
42	88,72,115,27	45,58,59,30	32,39,44,36	87,54,44,80	77	78
43	21,27,51,17	42,55,61,30	19,26,20,28	87,46,44,75	77	78
44	5,14,0,0	8,9,2,3	4,3,0,6	11,0,4,5	78	78
48	46,45,54,19	1,0,4,0	40,30,30,51	0,0,0,0	63	78
51	17,15,6,13	7,5,3,0	0,8,13,22	4,6,1,8	78	78
53	170,113,146,84	266,180,204,124	154,146,93,140	182,192,200,168	78	78
54	1,0,10,0	280,208,264,144	0,0,1,0	221,182,140,179	78	78
55	18,13,13,19	6,0,3,2	24,30,19,30	3,0,1,4	78	78
56	0,1,14,11	3,3,20,3	4,3,0,16	8,8,2,5	78	78
57	5,9,0,12	27,14,17,10	2,4,7,6	11,29,15,6	78	78
58	92,60,64,14	89,50,61,17	29,63,23,17	39,62,34,46	78	78
59	66,49,60,31	46,39,56,25	25,49,40,21	52,33,27,33	78	78
60	386,238,397,214	139,106,216,67	209,239,208,234	127,146,100,96	78	78
63	23,3,28,21	8,4,13,8	13,8,10,10	11,12,6,10	78	78
65	30,15,30,8	32,15,20,2	16,22,14,9	20,28,9,44	78	74
67	116,56,86,68	95,82,59,67	39,31,58,40	76,60,63,65	78	78
68	429,204,318,278	266,184,206,147	205,271,208,235	136,219,146,150	78	78
69	36,36,27,9	33,45,46,44	27,42,48,42	54,35,39,72	78	78
70	37,22,13,29	54,45,82,36	24,24,22,28	58,51,44,53	78	78
71	38,28,36,23	48,25,35,20	19,43,16,29	14,26,35,31	78	78
72	35,22,31,17	37,43,41,13	12,30,9,16	52,35,23,30	78	78
73	155,110,100,78	93,54,86,55	84,122,71,74	67,56,50,54	78	78
74	21,16,12,14	44,23,13,19	12,12,6,11	12,18,12,22	78	78
75	10,0,4,10	9,13,23,1	3,0,2,4	1,0,4,2	78	78
76	94,73,64,61	215,172,189,145	55,76,48,68	182,172,128,139	78	78
77	14,7,3,1	9,7,9,2	3,15,5,5	1,6,20,10	78	78
79	6,3,14,4	0,0,1,0	10,1,4,0	0,4,8,4	78	78
80	2,7,15,11	1,0,0,0	11,7,4,2	0,0,0,0	78	78
81	3,0,7,5	2,7,4,4	1,0,0,0	11,0,4,3	78	78
83	45,36,39,38	54,29,57,38	45,38,30,41	28,25,35,47	78	78
84	8,5,10,2	33,4,9,0	4,1,6,2	3,15,5,14	78	78
85	25,21,32,4	18,5,9,1	15,18,10,12	10,0,2,25	78	62
87	26,12,34,16	21,19,19,12	20,44,19,13	13,17,0,9	76	76
89	27,19,20,9	0,0,5,0	15,9,18,9	3,0,0,4	78	78
90	27,19,20,9	0,0,5,0	15,9,15,9	3,0,0,4	78	78
91	16,18,12,18	113,69,73,65	34,57,51,60	46,73,57,56	78	78
