ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	7,5,0,0	28,7,10,0	7,0,3,0	11,10,4,7	78	39
5	0,3,0,0	20,27,31,20	0,2,1,0	25,52,25,20	78	39
6	22,11,49,41	3,2,17,7	56,37,17,6	3,10,3,7	78	39
7	0,0,0,0	31,34,45,14	0,0,0,1	22,15,11,24	78	39
8	0,0,0,7	6,0,0,0	1,0,0,0	8,0,0,0	78	39
9	0,0,0,0	13,10,0,0	0,0,0,1	5,5,1,16	78	39
11	0,0,2,0	3,8,4,0	0,0,0,0	3,0,0,0	78	39
12	17,15,18,35	4,13,4,4	8,29,9,12	8,3,5,9	78	39
14	16,8,20,15	2847,1488,2250,1336	17,0,11,16	1829,2257,1583,2043	78	39
15	100,54,71,51	4207,2297,3257,2055	52,58,41,65	2314,2470,1956,2762	78	39
16	1,0,0,0	24,19,53,28	0,1,0,0	36,23,24,27	78	39
17	1,2,0,0	0,3,0,0	0,5,0,8	2,0,0,0	78	39
18	0,2,0,0	0,5,0,5	0,0,0,0	0,1,1,0	78	39
19	0,0,3,0	1,0,0,0	3,0,0,0	2,0,0,0	78	39
22	7,0,5,1	13,4,15,5	5,4,2,4	4,0,10,9	78	39
23	9,0,0,1	0,0,5,0	3,4,1,0	0,0,0,5	78	39
24	10,0,0,0	9,2,0,3	3,6,1,0	0,2,0,0	78	39
25	36,11,21,19	2,0,1,0	21,28,9,20	0,3,0,6	78	39
27	1,7,6,0	1,1,13,0	0,0,4,1	1,6,4,0	78	39
28	7,3,20,5	84,63,70,78	17,22,4,3	59,58,55,80	78	39
29	159,61,97,50	3151,1896,2306,1622	103,91,53,75	1719,1884,1524,1973	78	39
32	10,10,6,12	55,28,41,48	6,7,0,8	11,47,31,45	78	39
33	2,0,0,0	2,5,0,0	0,0,0,0	2,0,1,0	78	39
34	2,0,6,3	13,10,14,6	4,7,0,0	10,19,12,20	78	39
35	10,2,0,3	30,24,25,22	4,21,6,0	16,21,16,14	78	39
36	4,3,0,0	95,48,75,41	6,11,2,1	38,27,54,70	78	39
38	3,2,2,5	9,0,13,0	5,1,7,6	5,9,12,3	78	39
39	1,0,0,3	11,1,6,4	0,3,2,0	4,9,1,7	78	39
40	0,0,0,7	7,14,4,11	1,0,2,5	6,20,7,16	78	39
41	5,0,0,0	14,3,10,3	0,0,0,6	12,5,3,9	78	39
42	30,15,14,18	4,5,1,3	13,16,12,20	7,11,4,7	78	39
44	56,8,35,19	1,9,15,0	29,43,28,14	7,4,4,4	78	39
46	0,0,0,0	3,3,7,0	0,7,2,0	8,0,2,5	78	39
47	0,3,0,3	26,15,14,11	4,0,3,0	26,24,17,30	78	39
49	5,0,0,0	0,0,0,0	1,3,0,0	1,0,0,0	78	39
50	4,11,0,6	31,46,13,22	2,7,2,16	23,21,10,31	78	39
51	2,0,0,0	84,78,72,34	0,0,0,0	37,88,38,44	78	39
52	0,0,4,0	58,44,89,45	0,0,1,2	65,60,42,57	78	39
57	5,3,0,0	0,7,9,5	0,7,3,2	3,5,5,1	78	39
58	9,1,7,6	1,0,0,0	2,10,10,7	0,0,0,0	78	39
59	137,90,155,90	749,510,721,490	116,143,80,92	540,498,426,539	78	39
60	3,5,11,2	22,11,27,4	10,11,5,0	23,25,20,9	78	39
62	3,0,0,4	1,9,8,0	4,6,0,5	5,7,2,7	78	39
63	0,0,0,11	23,6,11,7	0,0,0,0	12,6,9,13	78	39
64	5,4,0,0	3,3,0,0	5,13,6,9	6,6,3,7	78	39
67	2,0,0,0	0,0,0,0	0,0,0,0	0,0,1,0	78	39
71	0,2,0,0	6,6,0,1	0,0,0,0	0,2,0,0	78	39
73	4,6,1,1	2,0,0,4	3,9,2,6	4,0,0,0	78	39
74	0,1,4,2	0,0,0,0	2,0,2,12	1,0,0,0	78	39
75	1,5,0,0	8,7,10,0	0,0,0,0	4,6,0,0	78	39
78	14,12,8,8	193,196,179,96	9,27,10,6	74,157,134,90	78	39
79	13,9,3,15	11,8,0,0	27,44,4,16	5,0,2,2	78	39
80	15,6,8,7	210,141,218,105	18,25,0,13	120,213,91,150	78	39
82	3,2,3,0	43,41,42,22	2,0,2,0	22,34,27,22	78	39
83	6,6,0,0	21,9,17,4	1,0,7,0	24,15,9,3	78	39
86	0,0,0,0	2,0,0,0	0,0,0,1	0,0,0,0	78	39
87	0,2,4,0	0,0,0,0	0,3,0,0	0,4,0,3	78	39
89	4,1,0,0	12,16,6,0	2,0,0,0	1,6,10,12	78	39
91	0,4,0,0	5,19,6,0	0,0,2,0	1,0,0,4	78	39
92	2,0,1,2	31,18,25,12	0,2,1,3	24,24,14,18	78	39
93	0,0,0,0	58,9,16,8	2,0,0,0	16,33,10,9	78	39
94	12,4,4,4	36,23,31,18	7,0,7,6	39,42,15,22	78	39
95	5,1,3,0	2,2,0,3	6,0,1,6	0,0,0,0	78	39
98	143,82,133,68	834,542,799,506	84,118,50,81	552,595,404,612	78	39
103	9,1,5,0	19,2,25,8	0,0,0,0	16,27,7,15	78	39
105	4,5,3,4	3,3,8,1	0,0,3,0	6,15,4,17	78	39
107	65,39,22,37	95,45,67,62	35,80,46,27	57,47,87,77	78	39
108	43,35,24,34	161,115,123,95	34,51,40,36	97,114,71,112	78	39
109	74,49,48,71	169,113,115,78	50,67,56,52	128,150,95,96	78	39
110	92,63,73,90	0,2,0,2	64,88,71,67	0,0,0,0	78	39
111	23,30,21,4	124,84,73,74	11,33,7,16	71,73,58,72	78	39
112	1,0,5,4	15,7,10,13	0,0,0,0	6,7,9,1	78	39
113	8,8,7,0	35,20,42,7	3,17,0,5	16,23,12,36	78	39
115	22,21,19,18	213,101,215,168	14,8,17,18	116,208,140,206	78	39
116	13,9,1,5	0,3,0,0	6,6,2,11	2,0,3,0	78	39
118	156,80,135,100	0,5,3,0	77,64,79,59	4,0,0,0	78	39
119	0,0,1,0	98,78,84,65	2,8,1,0	41,84,37,55	78	39
120	1,0,1,0	38,18,25,8	0,0,0,4	15,20,12,11	78	39
121	2,6,0,0	50,21,18,15	6,0,0,3	20,18,17,37	78	39
122	0,0,3,3	181,117,197,95	5,5,0,1	90,102,75,95	78	39
123	2,0,0,5	11,10,9,1	0,0,0,5	4,8,2,5	78	39
125	7,3,11,6	25,9,9,5	5,4,2,7	25,14,13,3	78	39
127	16,16,4,9	0,0,0,0	9,22,9,13	0,1,0,0	78	39
129	0,8,0,2	54,39,49,33	3,7,0,6	46,32,21,65	78	39
132	23,5,18,0	0,0,0,0	5,16,0,7	3,11,0,0	78	39
134	131,63,124,54	4,0,0,0	61,87,61,76	0,0,3,5	78	39
136	0,0,3,0	0,8,3,1	0,0,0,0	12,7,0,1	78	39
137	38,54,41,42	411,231,292,251	50,51,47,44	266,335,241,299	78	39
139	5,0,0,3	37,18,20,19	1,12,19,7	11,21,8,8	78	39
140	6,6,17,0	127,87,123,44	7,5,6,0	74,94,75,67	78	39
