ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5	12,6,9,5	0,0,0,0	10,8,14,0	0,1,2,0	78	39
6	44,34,40,22	3,0,0,0	29,13,19,15	0,0,0,0	78	39
9	3,0,0,4	0,0,0,0	2,0,0,0	3,0,0,0	78	39
11	18,5,1,3	0,0,0,0	3,7,10,2	0,0,0,2	78	39
17	348,210,261,209	0,0,0,0	231,166,135,231	0,0,2,0	78	39
21	136,107,135,78	0,0,1,0	107,132,95,122	0,0,0,0	78	39
22	8,0,0,8	148,93,102,82	1,0,0,4	62,104,50,85	78	39
26	3,1,11,10	9,3,26,8	8,14,7,23	5,16,5,2	78	39
27	3,1,7,7	0,0,2,0	8,16,5,19	0,17,10,2	78	39
28	62,70,49,38	1,4,4,0	51,54,52,20	1,0,0,0	78	39
30	0,0,0,0	3,0,0,0	2,0,1,0	0,0,0,0	78	39
37	1,13,7,6	0,0,0,0	6,4,1,4	0,0,0,3	78	39
38	2,8,4,13	0,0,0,0	5,0,1,2	3,0,0,0	78	39
39	16,19,5,6	0,0,0,0	12,10,14,3	0,0,1,0	78	39
42	12,3,7,0	1,5,0,0	8,8,7,5	0,3,1,0	78	39
43	10,6,0,0	0,0,0,0	7,10,6,1	0,0,1,0	78	39
50	3,0,0,0	0,0,0,0	3,6,5,3	1,0,0,0	78	39
51	0,0,1,0	0,2,0,0	0,0,2,0	0,0,0,0	78	39
56	25,16,18,18	4,0,0,0	12,22,8,21	1,0,3,0	78	39
59	3,8,4,0	1,0,0,0	3,0,0,0	0,0,0,0	78	39
60	3,8,6,0	1,0,0,0	3,0,0,0	0,0,0,0	78	39
64	0,0,0,5	3,0,7,8	0,0,1,0	0,4,0,0	78	39
66	3,0,7,8	0,0,1,4	3,6,1,0	0,0,0,0	78	39
67	5,0,11,8	0,0,5,0	0,4,0,1	1,0,0,0	78	39
