ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5	2,0,0,0	9,2,1,6	0,0,0,0	1,0,0,0	42	39
6	2,0,0,3	0,0,0,0	1,0,0,0	2,0,1,0	48	39
9	106,63,115,81	139,52,78,62	52,67,45,91	65,67,71,83	48	39
10	47,31,29,20	12,29,32,13	33,46,53,48	12,25,12,20	42	39
12	23,15,13,3	3,0,0,0	6,13,11,8	0,0,0,0	87	39
13	14,1,10,6	8,10,10,0	3,3,7,3	5,5,2,15	42	39
14	36,38,30,30	0,0,0,1	19,26,33,71	0,0,0,0	130	39
19	15,15,9,14	9,2,0,2	7,10,8,20	5,5,0,2	43	39
20	6,20,12,0	0,0,7,0	8,20,4,21	1,0,2,2	246	39
21	6230,3213,4670,3055	5,0,14,0	3418,4177,3088,3963	1,2,3,4	375	39
22	5,1,5,0	0,0,15,1	0,8,9,2	6,0,0,12	72	39
23	29,40,31,8	4,2,8,3	52,43,28,17	4,14,3,2	2694	39
24	2,0,8,8	2,7,13,7	0,6,0,2	5,7,3,0	95	39
30	0,7,1,4	20,20,10,17	0,2,0,0	29,12,16,23	71	39
31	0,5,9,0	17,6,41,18	0,0,1,0	16,14,17,24	57	39
32	7,0,10,0	13,4,15,5	2,0,1,9	4,0,10,9	59	39
33	16,2,5,4	13,4,15,5	2,2,1,4	4,0,10,9	79	39
34	9,2,0,4	0,0,5,0	0,2,0,0	0,0,0,5	59	39
36	109,58,78,66	69,76,133,62	54,97,38,77	64,76,61,43	141	39
37	254,95,146,121	69,76,133,62	159,169,114,186	64,76,61,43	318	39
38	152,37,68,64	7,0,0,9	107,85,77,110	2,13,1,1	216	39
39	48,23,23,10	3,4,4,8	29,10,18,20	0,0,0,0	105	39
40	3,0,0,0	3,1,5,0	0,0,1,0	8,0,4,6	100	39
42	41,21,33,30	36,7,17,13	12,34,24,23	7,28,16,10	66	39
43	42,21,37,30	8,8,10,14	17,34,27,23	6,16,0,0	69	39
44	37,7,21,13	8,8,10,14	12,28,19,10	6,16,0,0	42	39
45	56,32,76,30	29,4,18,22	47,29,42,40	9,18,8,19	42	39
48	8,2,3,0	0,0,0,0	3,0,5,0	0,0,0,5	43	39
50	37,11,36,26	0,7,7,6	17,18,16,16	9,0,0,7	42	39
51	2,6,2,0	4,0,4,0	0,0,0,0	4,0,3,1	222	39
