ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	37,20,39,0	28,7,10,0	41,36,17,18	11,10,4,7	836	39
5	0,3,0,0	20,27,31,20	0,2,1,0	25,52,25,20	139	39
6	35,18,57,62	3,2,17,7	86,62,31,35	3,10,3,7	135	39
7	2,5,18,0	31,34,45,14	2,9,4,1	22,15,11,24	1504	39
8	2,3,2,15	6,0,0,0	1,0,0,0	8,0,0,0	206	39
9	23,11,26,7	13,10,0,0	6,10,26,19	5,5,1,16	2582	39
11	3,0,4,0	3,8,4,0	0,0,13,0	3,0,0,0	632	39
12	50,36,70,93	4,13,4,4	39,75,31,80	8,3,5,9	249	39
14	32,17,23,15	2847,1488,2250,1336	20,9,14,20	1829,2257,1583,2043	131	39
15	295,145,194,161	4207,2297,3257,2055	152,203,128,164	2314,2470,1956,2762	245	39
16	6,0,0,2	24,19,53,28	0,2,0,0	36,23,24,27	128	39
17	38,32,29,1	0,3,0,0	20,16,16,32	2,0,0,0	352	39
18	13,7,14,2	0,5,0,5	4,5,2,13	0,1,1,0	1644	39
19	28,36,29,8	1,0,0,0	48,38,26,17	2,0,0,0	2616	39
21	0,0,0,0	16,3,10,10	0,0,0,3	19,0,6,2	143	39
22	20,2,5,6	13,4,15,5	6,14,5,4	4,0,10,9	264	39
23	13,2,0,6	0,0,5,0	4,14,4,0	0,0,0,5	244	39
24	13,2,0,5	9,2,0,3	4,14,4,0	0,2,0,0	224	39
25	423,193,389,226	2,0,1,0	229,253,178,258	0,3,0,6	1021	39
27	2,17,8,2	1,1,13,0	0,0,10,7	1,6,4,0	224	39
28	7,9,20,5	84,63,70,78	17,22,4,6	59,58,55,80	140	39
29	651,357,413,268	3151,1896,2306,1622	416,535,265,383	1719,1884,1524,1973	477	39
32	28,11,16,20	55,28,41,48	23,21,0,14	11,47,31,45	615	39
33	17,8,0,1	2,5,0,0	7,2,4,6	2,0,1,0	1475	39
34	5,7,12,3	13,10,14,6	13,17,2,2	10,19,12,20	256	39
35	15,2,2,3	30,24,25,22	4,27,13,5	16,21,16,14	134	39
36	25,3,6,0	95,48,75,41	13,11,4,1	38,27,54,70	833	39
38	3,2,2,5	9,0,13,0	13,7,7,6	5,9,12,3	140	39
39	3,0,4,3	11,1,6,4	0,3,6,0	4,9,1,7	118	39
40	0,2,0,7	7,14,4,11	1,2,4,9	6,20,7,16	102	39
41	5,0,0,0	14,3,10,3	0,0,0,6	12,5,3,9	109	39
42	158,116,130,88	4,5,1,3	67,142,81,141	7,11,4,7	480	39
44	95,30,62,36	1,9,15,0	60,92,45,15	7,4,4,4	156	39
46	0,0,0,0	3,3,7,0	0,7,2,0	8,0,2,5	154	39
47	0,3,0,3	26,15,14,11	5,7,3,0	26,24,17,30	601	39
48	24,12,23,4	8,6,25,1	6,14,0,10	10,4,9,5	1930	39
49	29,12,23,4	0,0,0,0	7,17,0,10	1,0,0,0	1933	39
50	8,11,0,6	31,46,13,22	2,7,2,16	23,21,10,31	517	39
51	5,18,2,12	84,78,72,34	15,3,15,3	37,88,38,44	500	39
52	8,4,4,0	58,44,89,45	14,0,9,6	65,60,42,57	2098	39
56	0,0,0,0	0,6,3,0	0,0,2,0	1,0,1,6	1335	39
57	5,3,0,0	0,7,9,5	3,7,3,2	3,5,5,1	186	39
58	12,3,7,6	1,0,0,0	5,10,11,9	0,0,0,0	223	39
59	150,99,165,98	749,510,721,490	119,147,85,92	540,498,426,539	133	39
60	4,10,12,2	22,11,27,4	13,11,10,0	23,25,20,9	148	39
62	13,11,0,12	1,9,8,0	18,10,8,9	5,7,2,7	410	39
63	0,0,0,11	23,6,11,7	0,0,0,0	12,6,9,13	135	39
64	12,4,0,0	3,3,0,0	14,21,10,9	6,6,3,7	160	39
67	3,0,0,1	0,0,0,0	0,0,0,0	0,0,1,0	219	39
71	0,2,0,0	6,6,0,1	0,0,0,0	0,2,0,0	126	39
73	34,17,23,36	2,0,0,4	21,45,26,52	4,0,0,0	522	39
74	23,18,34,34	0,0,0,0	21,27,34,36	1,0,0,0	401	39
75	15,5,0,0	8,7,10,0	0,0,18,0	4,6,0,0	915	39
78	148,130,105,92	193,196,179,96	147,182,127,53	74,157,134,90	1156	39
79	498,321,315,285	11,8,0,0	440,428,291,304	5,0,2,2	2876	39
80	252,142,170,156	210,141,218,105	228,189,118,183	120,213,91,150	1708	39
82	22,22,42,8	43,41,42,22	19,18,24,27	22,34,27,22	2238	39
83	19,12,21,2	21,9,17,4	39,12,24,10	24,15,9,3	714	39
84	0,1,0,0	41,32,48,23	0,0,0,0	49,45,53,47	132	39
86	0,0,0,0	2,0,0,0	0,3,0,1	0,0,0,0	178	39
87	0,8,8,2	0,0,0,0	2,7,2,0	0,4,0,3	266	39
89	16,5,1,0	12,16,6,0	13,22,0,0	1,6,10,12	1172	39
91	0,4,0,0	5,19,6,0	0,0,2,0	1,0,0,4	109	39
92	8,0,8,2	31,18,25,12	8,5,1,3	24,24,14,18	270	39
93	0,0,0,0	58,9,16,8	4,0,0,3	16,33,10,9	157	39
94	155,117,153,127	36,23,31,18	127,163,140,151	39,42,15,22	2479	39
95	142,95,146,111	2,2,0,3	120,155,130,144	0,0,0,0	2374	39
98	360,251,380,199	834,542,799,506	215,331,164,298	552,595,404,612	307	39
103	10,4,5,0	19,2,25,8	0,1,3,2	16,27,7,15	174	39
105	4,5,6,4	3,3,8,1	0,0,7,0	6,15,4,17	217	39
107	194,120,122,91	95,45,67,62	116,188,118,92	57,47,87,77	227	39
108	140,125,84,92	161,115,123,95	109,152,112,99	97,114,71,112	214	39
109	396,327,295,212	169,113,115,78	265,307,241,270	128,150,95,96	279	39
110	251,195,165,150	0,2,0,2	166,215,160,165	0,0,0,0	181	39
111	70,79,34,18	124,84,73,74	37,77,36,51	71,73,58,72	175	39
112	10,0,5,12	15,7,10,13	0,0,0,26	6,7,9,1	316	39
113	34,11,20,5	35,20,42,7	7,20,5,8	16,23,12,36	308	39
115	123,109,88,45	213,101,215,168	99,58,72,64	116,208,140,206	1766	39
116	27,39,8,17	0,3,0,0	15,15,22,28	2,0,3,0	258	39
118	282,151,261,174	0,5,3,0	173,128,157,172	4,0,0,0	153	39
119	17,2,11,2	98,78,84,65	8,22,17,8	41,84,37,55	702	39
120	8,0,3,0	38,18,25,8	4,6,0,4	15,20,12,11	653	39
121	6,13,2,8	50,21,18,15	13,2,3,17	20,18,17,37	638	39
