ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5	14,7,10,5	0,0,0,0	10,11,16,1	0,1,2,0	101	39
6	166,82,134,62	3,0,0,0	80,62,64,78	0,0,0,0	177	39
9	4,0,0,4	0,0,0,0	2,0,0,1	3,0,0,0	154	39
11	23,15,5,7	0,0,0,0	10,13,12,9	0,0,0,2	136	39
12	0,0,0,0	2,0,0,0	1,0,6,6	1,0,0,0	214	39
17	466,267,400,263	0,0,0,0	313,238,195,297	0,0,2,0	114	39
21	686,455,623,364	0,0,1,0	509,595,401,561	0,0,0,0	289	39
22	9,2,3,8	148,93,102,82	2,0,5,12	62,104,50,85	138	39
26	3,6,16,10	9,3,26,8	20,47,17,27	5,16,5,2	150	39
27	3,6,12,7	0,0,2,0	20,49,15,23	0,17,10,2	150	39
28	128,136,64,71	1,4,4,0	89,96,83,40	1,0,0,0	146	39
30	0,0,0,0	3,0,0,0	3,4,1,0	0,0,0,0	117	39
33	1,0,0,0	9,12,25,5	0,0,0,0	11,4,9,5	127	39
37	2,13,7,6	0,0,0,0	6,6,1,6	0,0,0,3	100	39
38	16,34,16,18	0,0,0,0	14,12,6,4	3,0,0,0	210	39
39	20,31,13,14	0,0,0,0	12,22,22,9	0,0,1,0	114	39
40	1,0,0,0	1,3,0,0	0,0,0,0	8,13,2,3	95	39
41	1,0,0,0	1,3,0,0	0,0,0,0	8,13,2,3	91	39
42	21,16,23,8	1,5,0,0	30,19,15,13	0,3,1,0	174	39
43	13,15,0,0	0,0,0,0	7,10,6,1	0,0,1,0	89	39
44	3,0,0,0	3,4,0,0	0,0,0,0	4,6,6,1	171	39
49	12,0,0,0	0,0,3,3	4,0,0,0	0,0,0,1	254	39
50	4,0,15,4	0,0,0,0	3,7,5,5	1,0,0,0	202	39
51	0,0,1,0	0,2,0,0	0,0,2,0	0,0,0,0	90	39
56	54,46,62,39	4,0,0,0	42,61,30,52	1,0,3,0	157	39
58	4,0,0,0	0,0,2,0	1,0,0,3	0,0,0,0	108	39
59	75,63,67,14	1,0,0,0	82,36,20,54	0,0,0,0	1108	39
60	17,28,10,6	1,0,0,0	14,8,4,8	0,0,0,0	219	39
64	1,0,0,5	3,0,7,8	0,0,1,0	0,4,0,0	92	39
66	6,0,7,8	0,0,1,4	4,6,1,7	0,0,0,0	110	39
67	8,0,11,8	0,0,5,0	1,4,0,8	1,0,0,0	110	39
69	31,17,5,9	6,6,14,2	20,20,20,26	2,7,8,3	114	39
70	108,62,101,59	0,0,0,1	83,32,41,77	0,0,0,0	202	39
71	0,0,0,0	1,0,0,0	0,0,4,1	0,1,0,0	108	39
74	0,0,2,0	14,5,23,48	3,3,4,0	21,20,17,19	148	39
75	61,33,33,31	2,0,0,0	36,13,20,23	0,0,0,0	109	39
76	73,78,71,50	0,0,0,0	41,59,42,73	0,1,0,0	106	39
78	210,87,139,88	0,1,0,0	106,106,109,135	0,0,0,0	187	39
79	39,29,43,36	0,2,0,0	33,48,27,40	0,0,0,0	134	39
81	19,18,23,28	2,3,0,0	5,3,4,22	0,0,1,0	116	39
82	22,19,17,28	0,6,6,0	6,3,6,25	4,4,1,7	116	39
83	19,16,24,29	6,1,0,3	5,3,4,22	1,0,2,0	116	39
84	19,20,26,5	0,6,6,0	2,25,7,15	4,4,1,7	186	39
85	15,20,16,5	6,1,0,3	2,25,7,13	1,0,2,0	186	39
86	17,19,32,6	3,3,0,1	2,25,6,15	1,0,2,3	186	39
87	13,19,22,6	0,0,7,2	2,25,6,13	0,0,0,0	186	39
88	13,16,4,0	4,0,10,0	8,31,5,0	0,0,0,2	221	39
91	0,0,0,0	4,0,0,0	0,5,0,0	0,0,2,0	212	39
92	53,16,34,30	6,1,0,3	33,29,29,41	1,0,2,0	149	39
93	56,13,28,31	0,0,7,2	30,25,30,37	0,0,0,0	149	39
95	257,196,282,141	5,3,15,2	179,227,128,224	5,13,12,9	174	39
98	128,84,106,79	0,0,0,0	58,81,64,83	0,0,0,1	155	39
99	1144,527,705,405	0,5,3,4	497,702,441,602	0,5,4,0	840	39
100	0,0,2,0	0,0,0,0	0,0,0,4	2,0,0,0	224	39
101	151,76,126,64	0,0,0,0	77,187,99,94	1,0,0,0	183	39
102	262,145,317,163	0,1,0,0	141,251,164,221	0,5,1,2	310	39
104	0,0,4,0	24,31,2,10	0,0,1,0	23,28,14,8	228	39
105	6,1,7,5	0,0,0,2	3,8,3,0	0,2,0,0	91	39
111	10142,5365,7733,4949	5,0,14,0	5580,6444,4916,6561	1,2,3,4	169	39
112	6694,3540,5195,3228	5,0,0,0	3751,4273,3307,4358	0,3,0,0	169	39
113	1264,589,757,493	5,0,0,0	595,721,558,692	0,3,0,0	87	39
114	4712,2414,3281,2214	5,0,0,0	2423,2890,2164,2891	0,0,0,0	87	39
115	4737,2389,3299,2135	5,0,0,0	2287,2652,2066,2868	0,3,0,0	219	39
116	8185,4214,5823,3856	5,0,0,0	4115,4821,3672,5067	0,0,0,0	219	39
