UniqueCount	AmbigCount
0	29600784
0	47282503
0	17938987
0	93350
0	246833
0	11274085
0	3415
0	2143
0	394
0	320
0	223
0	140
0	73
0	312
0	170
0	8
0	1949
0	10
0	43
0	2
0	41
0	116
0	51
0	623
0	131
0	132
0	11
0	0
0	0
0	1668
0	0
0	8
0	7
0	166
0	728
0	1614
0	0
0	217
0	182
0	4471
0	414
0	1283
0	0
0	444
0	123
0	1
0	746
0	899
0	0
0	1604
0	13092
0	235
0	12
0	531
0	574
0	694
0	3
0	289
0	59
0	65
0	0
0	0
0	1199
0	2136
0	2720
0	915
0	1463
0	1
0	5
0	564
0	9
0	204
0	3
0	35
0	0
0	693
0	1263
0	16
0	547
0	3
0	127
0	46
0	50
0	2555
0	0
0	17776
0	541
0	1462
0	350
0	0
0	218
0	734
0	1
0	0
0	2
0	3
0	1
0	266
0	286
0	6
0	3
0	4
0	0
0	318
0	135
0	178
0	30
0	54
0	198
0	88
0	213
0	0
0	0
0	1896
0	0
0	329
0	384
0	2678
0	161
0	194
0	2
0	121
0	0
0	0
0	0
0	382
0	966
0	897
0	0
0	18795
0	96
0	7
0	0
0	107
0	1
0	1371
0	1344
0	167
0	134
0	137
0	4
0	293
0	0
0	0
0	5931
0	61
0	30
0	0
0	0
0	52
0	0
0	2
0	0
0	9
0	14
0	11352
0	0
0	0
0	1819
0	9
0	1855
0	0
0	101
0	2571
0	95
0	10
0	48
0	407
0	2
0	0
0	0
0	0
0	65
0	9
0	0
0	3097
0	24
0	0
0	1209
0	0
0	4073
0	2475
0	2
0	373
0	9053
0	9
0	506
0	671
0	32
0	504
0	0
0	11
0	0
0	0
0	0
0	2
0	465
0	837
0	16
0	1312
0	0
0	0
0	1
0	11
0	19
0	3500
0	1132
0	24
0	2
0	670
0	462
0	342
0	1
0	5
0	7286
0	137
0	12
0	2259
0	0
0	71
0	96
0	47
0	0
0	0
0	298
0	13
0	7
0	323
0	17
0	71
0	408
0	189
0	0
0	1574
0	0
0	2183
0	24
0	9
0	573
0	767
0	1252
0	1320
0	9
0	120
0	59
0	35
0	0
0	278
0	258
0	61
0	1177
0	3
0	0
0	517
0	0
0	1
0	0
0	0
0	6
0	2519
0	1927
