UniqueCount	AmbigCount
0	28555263
0	41303711
0	14465713
0	91943
0	226997
0	8180234
0	2517
0	1158
0	319
0	206
0	176
0	87
0	43
0	313
0	87
0	4
0	1177
0	1
0	40
0	1
0	66
0	5
0	1
0	251
0	14
0	145
0	89
0	3
0	0
0	2872
0	0
0	2
0	0
0	150
0	522
0	506
0	0
0	111
0	131
0	1850
0	251
0	2595
0	2
0	411
0	48
0	5
0	236
0	648
0	0
0	492
0	11226
0	141
0	5
0	135
0	817
0	174
0	6
0	70
0	20
0	28
0	1
0	0
0	25
0	5156
0	1663
0	900
0	1079
0	6
0	26
0	342
0	4
0	215
0	1
0	166
0	0
0	951
0	2012
0	11
0	443
0	1
0	123
0	62
0	21
0	1384
0	5
0	13680
0	453
0	803
0	178
0	10
0	94
0	104
0	2
0	0
0	0
0	2
0	0
0	71
0	335
0	7
0	14
0	0
0	0
0	70
0	23
0	42
0	17
0	82
0	269
0	27
0	150
0	0
0	0
0	2314
0	0
0	471
0	423
0	3663
0	175
0	86
0	24
0	222
0	0
0	0
0	0
0	119
0	222
0	1167
0	0
0	32447
0	76
0	7
0	0
0	147
0	0
0	1663
0	918
0	90
0	608
0	13
0	25
0	142
0	0
0	22
0	2713
0	16
0	4
0	0
0	2
0	26
0	0
0	0
0	0
0	1
0	1
0	7209
0	0
0	0
0	1543
0	13
0	1428
0	0
0	4
0	1103
0	289
0	15
0	27
0	170
0	1
0	0
0	0
0	0
0	15
0	14
0	0
0	1118
0	28
0	0
0	410
0	0
0	3022
0	3048
0	0
0	79
0	1840
0	11
0	221
0	559
0	14
0	1071
0	0
0	12
0	0
0	0
0	0
0	0
0	74
0	668
0	0
0	352
0	0
0	0
0	0
0	4
0	0
0	1679
0	773
0	17
0	0
0	632
0	321
0	159
0	11
0	6
0	9267
0	157
0	10
0	415
0	0
0	7
0	157
0	90
0	0
0	0
0	272
0	2
0	3
0	308
0	14
0	277
0	201
0	139
0	0
0	795
0	0
0	1284
0	12
0	1
0	164
0	403
0	450
0	1120
0	6
0	316
0	83
0	9
0	0
0	306
0	72
0	29
0	1515
0	3
0	0
0	625
0	0
0	7
0	3
0	0
0	34
0	842
0	1251
0	239
0	217
0	22
0	4
0	2
0	7521
0	0
0	0
0	42
0	0
0	1
0	74
0	0
0	31
0	6
0	18
0	107
0	0
0	14
0	0
0	1
0	16
0	4
0	3
0	0
0	0
0	156
0	970
0	41
0	0
0	105
0	5
0	0
0	5
0	150
0	54
0	0
0	112
0	31839
0	454
0	496
0	0
0	4107
0	1
0	133
0	5
0	265
0	0
0	41
0	0
0	282
0	0
0	0
0	32
0	2748
0	20
0	12
0	1621
0	1
0	7
0	1177
0	1446
0	1
0	9
0	1
0	642
0	32
0	0
0	34
0	0
0	469
0	2
0	2
0	0
0	123
0	0
0	2333
0	0
0	3
0	3250
0	284
0	84
0	0
0	6
0	78
0	0
0	44
0	1425
0	8
0	980
0	16
0	148
0	0
0	281
0	1813
0	491
0	249
0	163
0	15
0	121
0	2
0	2
0	2652
0	26
0	0
0	3
0	21
0	5161
0	136
0	0
0	6065
0	0
0	1
0	531
0	2
0	4259
0	116
0	0
0	21
0	0
0	0
0	1391
0	73
0	2224
0	0
0	20
0	473
0	0
0	6
0	12
0	0
0	6
0	0
0	0
0	0
0	56
0	0
0	572
0	1
0	0
0	419
0	1
0	49
0	0
0	1360
0	78
0	0
0	141
0	0
0	3
0	6
0	631
0	0
0	5234
0	93
0	1935
0	203
0	1628
0	138
0	5
0	0
0	23
0	36
0	124
0	135
0	25
0	0
0	17
0	2131
0	72
0	2599
0	91
0	3
0	0
0	238
0	232
0	36
0	72
0	53
0	0
0	19
0	10
0	431
0	492
0	144
0	6
0	4526
0	31
0	513
0	258
0	442
0	3
0	1090
0	354
0	1
0	451
0	0
0	164
0	0
0	41
0	297
0	43
0	120
0	222
0	2064
0	682
0	6
0	3766
0	2
0	0
0	150
0	1
0	0
0	0
0	1
0	288
0	5
0	536
0	145
0	84
0	26
0	24
0	125
0	0
0	14
0	1693
0	1957
0	3
0	36
0	124
0	6
0	0
0	15
0	5
0	0
0	394
0	3
0	10
0	13
0	0
0	26
0	203
0	2
0	77
0	0
0	40
0	2196
0	107
0	0
0	0
0	0
0	177
0	258
0	26
0	0
0	11
0	194
0	324
0	6
0	0
0	0
0	4
0	83
0	21
0	2
0	32
0	1
0	80
0	0
0	308
0	346
0	166
0	249
0	322
0	19
0	407
0	2035
0	803
0	910
0	1
0	2
0	4
0	0
0	0
0	1194
0	159
0	13
0	251
0	579
0	745
0	286
0	1
0	24
0	104
0	442
0	1
0	265
0	0
0	27
0	11
0	0
0	63
0	0
0	35
0	41
0	174
0	0
0	0
0	20
0	5
0	3
0	2
0	4
0	3
0	7
0	0
0	213
0	93
0	289
0	1
0	1
0	17
0	0
0	12
0	49
0	5
0	624
0	0
0	0
0	0
0	131
0	0
0	0
0	591
0	0
0	32
0	28
0	3
0	121
0	0
0	0
0	11
0	0
0	93
0	362
0	0
0	4723
0	0
0	0
0	101
0	0
0	15
0	0
0	1340
0	0
0	1443
0	69
0	160
0	195
0	39
0	2
0	167
0	4
0	1
0	362
0	1441
0	1176
0	10
0	7288
0	337
0	2
0	333
0	4053
0	9
0	4008
0	9
0	18
0	192
0	0
0	0
0	20
0	4
0	160
0	38
0	89
0	15
0	51
0	1
0	0
0	213
0	12
0	331
0	10340
0	0
0	0
0	2744
0	204
0	0
0	123
0	1
0	8
0	0
0	0
0	0
0	410
0	0
0	0
0	34
0	18
0	234
0	0
0	0
0	562
0	1998
0	116
0	3
0	0
0	66995
0	124
0	30
0	251
0	355
0	4
0	2
0	5601
0	920
0	360
0	194
0	0
0	0
0	632
0	99
0	2075
0	0
0	285
0	36
0	22
0	7
0	0
0	44
0	6
0	500
0	15
0	0
0	10960
0	0
0	11
0	804
0	64
0	40
0	18
0	53
0	0
0	0
0	0
0	14
0	0
0	15
0	0
0	0
0	23
0	58
0	1833
0	63
0	5
0	4067
0	11
0	63
0	30
0	414
0	54
0	140
0	14
0	0
0	295
0	1698
0	67
0	22
0	0
0	0
0	293
0	572
0	628
0	149
0	408
0	0
0	210
0	0
0	1433
0	0
0	26
0	0
0	232
0	148
0	0
0	144
0	8
0	24
0	0
0	8
0	0
0	0
0	1
0	328
0	180
0	1348
0	878
0	0
0	450
0	256
0	30
0	1306
0	0
0	0
0	221
0	0
0	80
0	943
0	238
0	363
0	587
0	1
0	656
0	0
0	11
0	0
0	19
0	1
0	25
0	25
0	0
0	4
0	8
0	222
0	7
0	255
0	676
0	40
0	575
0	56
0	195
0	2342
0	11
0	17
0	2
0	69
0	3
0	71
0	3
0	7
0	130
0	839
0	76
0	1997
0	5841
0	3
0	9
0	44
0	18
0	322
0	2
0	49
0	0
0	0
0	46
0	417
0	714
0	405
0	7514
0	97
0	293
0	1545
0	149
0	1
0	0
0	260
0	124
0	0
0	136
0	3
0	0
0	221
0	0
0	0
0	145
0	0
0	0
0	4524
0	1776
0	895
0	11
0	174
0	0
0	3058
0	709
0	22
0	48
0	0
0	49
0	16
0	329
0	29
0	37
0	0
0	0
0	8
0	0
0	8
0	73
0	117
0	40
0	67
0	1773
0	80
0	9760
0	474
0	25
0	5
0	291
0	125
0	0
0	0
0	1067
0	23
0	27
0	514
0	2
0	23
0	224
0	0
0	18
0	31
0	145
0	1
0	0
0	39
0	0
0	3316
0	279
0	8
0	36
0	695
0	8
0	76
0	0
0	0
0	29
0	386
0	22
0	26
0	42
0	0
0	0
0	14649
0	650
0	18
0	84
0	0
0	778
0	0
0	24
0	45
0	0
0	1
0	82
0	176
0	176
0	3
0	0
0	1414
0	27
0	212
0	480
0	26
0	556
0	1
0	4
0	144
0	1
0	4194
0	0
0	971
0	134
0	2
0	68
0	9075
0	880
0	57
0	365
0	187
0	4
0	75
0	0
0	87
0	142
0	1
0	0
0	0
0	87
0	0
0	2
0	720
0	0
0	4
0	56
0	4
0	201
0	0
0	0
0	310
0	422
0	925
0	2
0	0
0	26
0	17
0	0
0	384
0	15
0	349
0	270
0	7
0	315
0	424
0	0
0	390
0	57
0	12
0	0
0	0
0	334
0	196
0	443
0	2
0	136
0	151
0	1687
0	5462
0	109
0	14
0	3
0	4
0	0
0	103
0	0
0	0
0	56
0	1569
0	0
0	0
0	100
0	3
0	40
0	317
0	2
0	0
0	0
0	85
0	0
0	1744
0	0
0	2
0	7
0	117
0	0
0	0
0	0
0	614
0	0
0	46
0	2
0	803
0	92
0	385
0	807
0	0
0	0
0	94
0	0
0	51
0	0
0	0
0	78
0	0
0	715
0	0
0	0
0	4
0	0
0	1084
0	0
0	0
0	476
0	32
0	0
0	117
0	415
0	36
0	2134
0	3576
0	0
0	71
0	51
0	123
0	255
0	4
0	517
0	2639
0	116
0	0
0	33
0	7
0	555
0	70
