Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
DIV0.Rep1	93.3378568506589	30081492
DIV0.Rep2	93.14739515816997	31255030
DIV0.Rep3	93.04805275008539	35854717
DIV1.Rep1	92.46822378796081	38358081
DIV1.Rep2	92.74997225115372	39081951
DIV1.Rep3	92.99014863177042	25805194
DIV1.Rep4	93.36266321854319	28856911
DIV16.Rep1	92.95974557158112	28161903
DIV16.Rep2	93.11013785538115	25304166
DIV16.Rep3	92.90574561790946	29448520
DIV16.Rep4	93.73003304156448	25966869
DIV21.Rep1	93.18733532733486	25363386
DIV21.Rep2	93.94966627111103	28284650
DIV21.Rep3	94.0970382545045	28803094
DIV21.Rep4	93.01291786529299	28807880
DIV28.Rep1	93.26286993368524	27853096
DIV28.Rep2	93.6544983380748	29189172
DIV28.Rep3	93.46460072727382	26214468
DIV28.Rep4	93.51249720054136	29366097
DIV7.Rep1	93.27798849435533	33872646
DIV7.Rep2	93.47733368342004	31628455
DIV7.Rep3	93.03147015178833	34874897
DIV7.Rep4	93.36858375583158	33479498
DIVminus4.Rep1	92.95711458319835	22379113
DIVminus4.Rep2	92.82760710836033	22512296
DIVminus4.Rep3	92.9905374321609	25854771
DIVminus8.Rep1	94.71120328933638	27332315
DIVminus8.Rep2	94.69227725019225	29074242
DIVminus8.Rep3	94.91722950141248	28883069
DIVminus8.Rep4	95.57412703683782	29255484
