ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
14	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895378	70895709	70895378	70895507	70895599	70895709
15	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895599	70896045	70895599	70895709	70895915	70896045
16	"ENSMUSG00000003437.14"	"Paf1"	chr7	+	28395417	28395695	28395417	28395539	28395628	28395695
44	"ENSMUSG00000062175.13"	"Tgif2"	chr2	+	156853128	156855570	156853128	156853228	156853345	156855570
83	"ENSMUSG00000079109.11"	"Pms2"	chr5	+	143928098	143929042	143928098	143928266	143928941	143929042
115	"ENSMUSG00000066979.6"	"Bub3"	chr7	+	131561536	131563485	131561536	131561606	131563333	131563485
135	"ENSMUSG00000025915.14"	"Sgk3"	chr1	+	9885666	9886142	9885666	9885753	9885988	9886142
136	"ENSMUSG00000025915.14"	"Sgk3"	chr1	+	9885666	9886142	9885666	9885753	9886046	9886142
137	"ENSMUSG00000036438.12"	"Calm2"	chr17	-	87435603	87435934	87435603	87435710	87435790	87435934
157	"ENSMUSG00000037563.15"	"Rps16"	chr7	+	28352176	28352410	28352176	28352273	28352362	28352410
158	"ENSMUSG00000036002.12"	"Fam214b"	chr4	-	43035835	43037206	43035835	43036804	43037062	43037206
198	"ENSMUSG00000021235.13"	"Coq6"	chr12	+	84370255	84371031	84370255	84370354	84370923	84371031
199	"ENSMUSG00000021235.13"	"Coq6"	chr12	+	84370255	84371031	84370255	84370386	84370923	84371031
212	"ENSMUSG00000037470.14"	"Uggt1"	chr1	-	36162204	36163410	36162204	36162363	36163220	36163410
216	"ENSMUSG00000052488.7"	"Cherp"	chr8	-	72469863	72470227	72469863	72470015	72470089	72470227
222	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70022619	70023697	70022619	70022669	70023606	70023697
223	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70022619	70023697	70022619	70022669	70023610	70023697
224	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70022619	70023697	70022619	70022669	70023613	70023697
232	"ENSMUSG00000022295.8"	"Atp6v1c1"	chr15	+	38679319	38681165	38679319	38679411	38681066	38681165
233	"ENSMUSG00000022295.8"	"Atp6v1c1"	chr15	+	38689124	38690659	38689124	38689222	38690532	38690659
270	"ENSMUSG00000073702.11"	"Rpl31"	chr1	+	39367928	39368255	39367928	39368006	39368148	39368255
271	"ENSMUSG00000073702.11"	"Rpl31"	chr1	+	39370953	39371366	39370953	39371066	39371301	39371366
284	"ENSMUSG00000037306.13"	"Man1c1"	chr4	-	134702944	134704290	134702944	134703766	134704196	134704290
