ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSMUSG00000032298.13"	"Neil1"	chr9	-	57143757	57143819	57143450	57143613	57143978	57144006	5	12,6,9,5	0,0,0,0	10,8,14,0	0,1,2,0	78	39	1	1.0	1.0,1.0,1.0,1.0	1.0,0.8,0.778,NA	0.141
6	"ENSMUSG00000041346.11"	"Wrap53"	chr11	-	69562121	69562259	69561757	69562019	69562393	69562497	6	44,34,40,22	3,0,0,0	29,13,19,15	0,0,0,0	78	39	1	1.0	0.88,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.03
9	"ENSMUSG00000062861.8"	"Zfp28"	chr7	+	6392181	6392296	6390399	6390560	6393366	6396915	9	3,0,0,4	0,0,0,0	2,0,0,0	3,0,0,0	78	39	1	1.0	1.0,NA,NA,1.0	0.25,NA,NA,NA	0.75
11	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149656603	149656700	149656380	149656511	149657245	149657455	11	18,5,1,3	0,0,0,0	3,7,10,2	0,0,0,2	78	39	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.333	0.167
17	"ENSMUSG00000037706.17"	"Cd81"	chr7	+	143065942	143066017	143064673	143065306	143066247	143066310	17	348,210,261,209	0,0,0,0	231,166,135,231	0,0,2,0	78	39	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.971,1.0	0.007
21	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21632804	21633054	21616168	21616400	21634749	21634882	21	136,107,135,78	0,0,1,0	107,132,95,122	0,0,0,0	78	39	1	1.0	1.0,1.0,0.985,1.0	1.0,1.0,1.0,1.0	-0.004
22	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21677952	21678051	21677449	21677677	21678315	21678393	22	8,0,0,8	148,93,102,82	1,0,0,4	62,104,50,85	78	39	0.344333935568	1.0	0.026,0.0,0.0,0.047	0.008,0.0,0.0,0.023	0.01
26	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126238521	126238632	126236895	126237278	126240022	126240137	26	3,1,11,10	9,3,26,8	8,14,7,23	5,16,5,2	78	39	0.00617431128962	0.105567545903	0.143,0.143,0.175,0.385	0.444,0.304,0.412,0.852	-0.291
27	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126238521	126238632	126236895	126237278	126240031	126240137	27	3,1,7,7	0,0,2,0	8,16,5,19	0,17,10,2	78	39	5.63052018693e-05	0.00313990937805	1.0,1.0,0.636,1.0	1.0,0.32,0.2,0.826	0.323
28	"ENSMUSG00000020634.12"	"Ubxn2a"	chr12	-	4891314	4891421	4885720	4885858	4894537	4894679	28	62,70,49,38	1,4,4,0	51,54,52,20	1,0,0,0	78	39	0.00524585415844	0.0941615301161	0.969,0.897,0.86,1.0	0.962,1.0,1.0,1.0	-0.059
30	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78976466	78976544	78973251	78974292	78987891	78987948	30	0,0,0,0	3,0,0,0	2,0,1,0	0,0,0,0	78	39	1	1.0	0.0,NA,NA,NA	1.0,NA,1.0,NA	-1.0
37	"ENSMUSG00000023009.14"	"Nckap5l"	chr15	-	99436026	99436087	99434039	99434189	99457631	99457748	37	1,13,7,6	0,0,0,0	6,4,1,4	0,0,0,3	78	39	0.423332106138	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.4	0.15
38	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1099581	1099752	1096860	1098573	1102764	1102891	38	2,8,4,13	0,0,0,0	5,0,1,2	3,0,0,0	78	39	1	1.0	1.0,1.0,1.0,1.0	0.455,NA,1.0,1.0	0.182
39	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871	39	16,19,5,6	0,0,0,0	12,10,14,3	0,0,1,0	78	39	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.875,1.0	0.031
42	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1169122	1169257	1168089	1168185	1169964	1170184	42	12,3,7,0	1,5,0,0	8,8,7,5	0,3,1,0	78	39	1	1.0	0.857,0.231,1.0,NA	1.0,0.571,0.778,1.0	-0.141
43	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1199296	1199513	1239710	1239819	43	10,6,0,0	0,0,0,0	7,10,6,1	0,0,1,0	78	39	1	1.0	1.0,1.0,NA,NA	1.0,1.0,0.75,1.0	0.063
50	"ENSMUSG00000048445.6"	"Ccdc57"	chr11	-	120895256	120895419	120894598	120894733	120897808	120897967	50	3,0,0,0	0,0,0,0	3,6,5,3	1,0,0,0	78	39	1	1.0	1.0,NA,NA,NA	0.6,1.0,1.0,1.0	0.1
51	"ENSMUSG00000024008.15"	"Cpne5"	chr17	-	29202854	29202905	29202504	29202568	29204688	29204748	51	0,0,1,0	0,2,0,0	0,0,2,0	0,0,0,0	78	39	1	1.0	NA,0.0,1.0,NA	NA,NA,1.0,NA	-0.5
56	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92353224	92353342	92351126	92351451	92354762	92354953	56	25,16,18,18	4,0,0,0	12,22,8,21	1,0,3,0	78	39	0.752290471531	1.0	0.758,1.0,1.0,1.0	0.857,1.0,0.571,1.0	0.083
59	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697016	130698085	130689182	130691148	130698678	130698743	59	3,8,4,0	1,0,0,0	3,0,0,0	0,0,0,0	78	39	1	1.0	0.6,1.0,1.0,NA	1.0,NA,NA,NA	-0.133
60	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697905	130698085	130691014	130691148	130698678	130698743	60	3,8,6,0	1,0,0,0	3,0,0,0	0,0,0,0	78	39	1	1.0	0.6,1.0,1.0,NA	1.0,NA,NA,NA	-0.133
64	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65179762	65179815	65175230	65175368	65181627	65181698	64	0,0,0,5	3,0,7,8	0,0,1,0	0,4,0,0	78	39	1	1.0	0.0,NA,0.0,0.238	NA,0.0,1.0,NA	-0.421
66	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65181627	65181698	65175230	65175368	65186208	65186459	66	3,0,7,8	0,0,1,4	3,6,1,0	0,0,0,0	78	39	1	1.0	1.0,NA,0.778,0.5	1.0,1.0,1.0,NA	-0.241
67	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65181627	65181698	65175230	65175368	65186304	65186479	67	5,0,11,8	0,0,5,0	0,4,0,1	1,0,0,0	78	39	1	1.0	1.0,NA,0.524,1.0	0.0,1.0,NA,1.0	0.175
69	"ENSMUSG00000046351.11"	"Zfp322a"	chr13	-	23362579	23362654	23357031	23357713	23362802	23362875	69	21,6,5,3	6,6,14,2	15,14,16,22	2,7,8,3	78	39	0.0215020429234	0.259239768321	0.636,0.333,0.152,0.429	0.789,0.5,0.5,0.786	-0.256
70	"ENSMUSG00000025731.15"	"RP23-356J2.10"	chr17	+	25875959	25876122	25875499	25875726	25876219	25876279	70	35,28,39,32	0,0,0,1	14,23,25,19	0,0,0,0	78	39	1	1.0	1.0,1.0,1.0,0.941	1.0,1.0,1.0,1.0	-0.015
71	"ENSMUSG00000021366.8"	"Hivep1"	chr13	+	42169240	42169309	42167561	42167663	42181431	42181910	71	0,0,0,0	1,0,0,0	0,0,4,1	0,1,0,0	78	39	1	1.0	0.0,NA,NA,NA	NA,0.0,1.0,1.0	-0.667
74	"ENSMUSG00000025608.9"	"Podxl"	chr6	-	31523427	31523536	31522991	31523219	31524304	31524311	74	0,0,0,0	14,5,23,48	0,0,4,0	21,20,17,19	78	39	1	1.0	0.0,0.0,0.0,0.0	0.0,0.0,0.105,0.0	-0.026
75	"ENSMUSG00000073460.4"	"Pnldc1"	chr17	-	12897260	12897330	12895511	12895597	12899532	12899676	75	40,16,25,12	2,0,0,0	22,7,15,13	0,0,0,0	78	39	1	1.0	0.909,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.023
76	"ENSMUSG00000021911.16"	"Parg"	chr14	+	32208156	32208223	32201948	32202465	32208711	32209233	76	44,65,48,36	0,0,0,0	24,32,12,45	0,1,0,0	78	39	1	1.0	1.0,1.0,1.0,1.0	1.0,0.941,1.0,1.0	0.015
78	"ENSMUSG00000021911.16"	"Parg"	chr14	+	32262683	32262831	32258077	32258153	32271629	32271708	78	74,14,44,23	0,1,0,0	19,36,39,41	0,0,0,0	78	39	1	1.0	1.0,0.875,1.0,1.0	1.0,1.0,1.0,1.0	-0.031
79	"ENSMUSG00000006850.7"	"Tmco6"	chr18	+	36741051	36741146	36739154	36739341	36741661	36741829	79	32,15,18,28	0,2,0,0	15,36,19,25	0,0,0,0	78	39	1	1.0	1.0,0.789,1.0,1.0	1.0,1.0,1.0,1.0	-0.053
