ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSMUSG00000032298.13"	"Neil1"	chr9	-	57143757	57143819	57143450	57143613	57143978	57144006	5	14,7,10,5	0,0,0,0	10,11,16,1	0,1,2,0	101	39	1	1.0	1.0,1.0,1.0,1.0	1.0,0.809,0.755,1.0	0.109
6	"ENSMUSG00000041346.11"	"Wrap53"	chr11	-	69562121	69562259	69561757	69562019	69562393	69562497	6	166,82,134,62	3,0,0,0	80,62,64,78	0,0,0,0	177	39	1	1.0	0.924,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.019
9	"ENSMUSG00000062861.8"	"Zfp28"	chr7	+	6392181	6392296	6390399	6390560	6393366	6396915	9	4,0,0,4	0,0,0,0	2,0,0,1	3,0,0,0	154	39	1	1.0	1.0,NA,NA,1.0	0.144,NA,NA,1.0	0.428
11	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149656603	149656700	149656380	149656511	149657245	149657455	11	23,15,5,7	0,0,0,0	10,13,12,9	0,0,0,2	136	39	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.563	0.109
12	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149697048	149697223	149674075	149674194	149698554	149698604	12	0,0,0,0	2,0,0,0	1,0,6,6	1,0,0,0	214	39	1	1.0	0.0,NA,NA,NA	0.154,NA,1.0,1.0	-0.718
17	"ENSMUSG00000037706.17"	"Cd81"	chr7	+	143065942	143066017	143064673	143065306	143066247	143066310	17	466,267,400,263	0,0,0,0	313,238,195,297	0,0,2,0	114	39	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.971,1.0	0.007
21	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21632804	21633054	21616168	21616400	21634749	21634882	21	686,455,623,364	0,0,1,0	509,595,401,561	0,0,0,0	289	39	1	1.0	1.0,1.0,0.988,1.0	1.0,1.0,1.0,1.0	-0.003
22	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21677952	21678051	21677449	21677677	21678315	21678393	22	9,2,3,8	148,93,102,82	2,0,5,12	62,104,50,85	138	39	0.678362412431	1.0	0.017,0.006,0.008,0.027	0.009,0.0,0.027,0.038	-0.004
26	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126238521	126238632	126236895	126237278	126240022	126240137	26	3,6,16,10	9,3,26,8	20,47,17,27	5,16,5,2	150	39	1.59008527196e-05	0.00105688205843	0.08,0.342,0.138,0.245	0.51,0.433,0.469,0.778	-0.346
27	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126238521	126238632	126236895	126237278	126240031	126240137	27	3,6,12,7	0,0,2,0	20,49,15,23	0,17,10,2	150	39	7.86970938982e-05	0.00375245528084	1.0,1.0,0.609,1.0	1.0,0.428,0.281,0.749	0.288
28	"ENSMUSG00000020634.12"	"Ubxn2a"	chr12	-	4891314	4891421	4885720	4885858	4894537	4894679	28	128,136,64,71	1,4,4,0	89,96,83,40	1,0,0,0	146	39	0.00473494027991	0.0776933684526	0.972,0.901,0.81,1.0	0.96,1.0,1.0,1.0	-0.069
30	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78976466	78976544	78973251	78974292	78987891	78987948	30	0,0,0,0	3,0,0,0	3,4,1,0	0,0,0,0	117	39	1	1.0	0.0,NA,NA,NA	1.0,1.0,1.0,NA	-1.0
33	"ENSMUSG00000029392.12"	"Rilpl1"	chr5	-	124496182	124496270	124493663	124493844	124501839	124501932	33	1,0,0,0	9,12,25,5	0,0,0,0	11,4,9,5	127	39	1	1.0	0.033,0.0,0.0,0.0	0.0,0.0,0.0,0.0	0.008
37	"ENSMUSG00000023009.14"	"Nckap5l"	chr15	-	99436026	99436087	99434039	99434189	99457631	99457748	37	2,13,7,6	0,0,0,0	6,6,1,6	0,0,0,3	100	39	0.463747436642	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.438	0.14
38	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1099581	1099752	1096860	1098573	1102764	1102891	38	16,34,16,18	0,0,0,0	14,12,6,4	3,0,0,0	210	39	0.486942253285	1.0	1.0,1.0,1.0,1.0	0.464,1.0,1.0,1.0	0.134
39	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871	39	20,31,13,14	0,0,0,0	12,22,22,9	0,0,1,0	114	39	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.883,1.0	0.029
40	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1161174	1161230	1157906	1158634	1168089	1168185	40	1,0,0,0	1,3,0,0	0,0,0,0	8,13,2,3	95	39	1	1.0	0.291,0.0,NA,NA	0.0,0.0,0.0,0.0	0.145
41	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1161178	1161230	1157906	1158634	1168089	1168185	41	1,0,0,0	1,3,0,0	0,0,0,0	8,13,2,3	91	39	1	1.0	0.3,0.0,NA,NA	0.0,0.0,0.0,0.0	0.15
42	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1169122	1169257	1168089	1168185	1169964	1170184	42	21,16,23,8	1,5,0,0	30,19,15,13	0,3,1,0	174	39	0.25466702998	1.0	0.825,0.418,1.0,1.0	1.0,0.587,0.771,1.0	-0.029
43	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1199296	1199513	1239710	1239819	43	13,15,0,0	0,0,0,0	7,10,6,1	0,0,1,0	89	39	1	1.0	1.0,1.0,NA,NA	1.0,1.0,0.724,1.0	0.069
44	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1226694	1226826	1224496	1224546	1239710	1239819	44	3,0,0,0	3,4,0,0	0,0,0,0	4,6,6,1	171	39	1	1.0	0.186,0.0,NA,NA	0.0,0.0,0.0,0.0	0.093
49	"ENSMUSG00000048445.6"	"Ccdc57"	chr11	-	120871047	120871262	120866554	120866676	120873585	120873671	49	12,0,0,0	0,0,3,3	4,0,0,0	0,0,0,1	254	39	1	1.0	1.0,NA,0.0,0.0	1.0,NA,NA,0.0	-0.167
