ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895915	70896045	70896132	70896312	70895378	70895709	70897358	70897396
3	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895915	70896045	70896132	70896180	70895599	70895709	70897358	70897399
11	"ENSMUSG00000029387.10"	"Gtf2h3"	chr5	+	124594762	124594831	124595552	124595688	124592480	124592534	124595802	124595839
17	"ENSMUSG00000026276.20"	"Sept2"	chr1	+	93491156	93491277	93495578	93495665	93478989	93479068	93497340	93497464
28	"ENSMUSG00000073433.10"	"Arhgdig"	chr17	-	26199751	26199828	26200014	26200098	26199612	26199676	26200190	26200370
29	"ENSMUSG00000073433.10"	"Arhgdig"	chr17	-	26199769	26199828	26200014	26200098	26199612	26199676	26200190	26200370
30	"ENSMUSG00000027316.15"	"Gfra4"	chr2	-	131040398	131040475	131041015	131041150	131039631	131040325	131041231	131041341
36	"ENSMUSG00000063972.13"	"Nr6a1"	chr2	-	38760186	38760429	38872594	38872639	38748835	38748891	38885195	38885237
40	"ENSMUSG00000062234.14"	"Gak"	chr5	-	108613512	108613638	108616908	108617051	108609390	108609480	108623259	108623374
42	"ENSMUSG00000022378.14"	"Fam49b"	chr15	-	63956599	63956682	63970929	63970968	63950005	63950127	63997897	63997969
43	"ENSMUSG00000022378.14"	"Fam49b"	chr15	-	63956599	63956682	63970929	63970968	63950005	63950127	64022569	64022620
48	"ENSMUSG00000047213.14"	"Ythdf3"	chr3	+	16183921	16183946	16186966	16187115	16183235	16183520	16189477	16189563
51	"ENSMUSG00000018412.16"	"Kansl1"	chr11	-	104378684	104378826	104423921	104425293	104357480	104357596	104441724	104442291
54	"ENSMUSG00000045983.15"	"Eif4g1"	chr16	+	20674227	20674314	20675343	20675520	20672822	20672876	20675729	20675829
56	"ENSMUSG00000029913.14"	"Prdm5"	chr6	+	65859356	65859478	65862914	65862994	65857642	65857817	65869180	65869265
57	"ENSMUSG00000022151.16"	"Ttc33"	chr15	+	5189581	5189803	5208368	5208450	5185524	5185572	5211998	5212130
58	"ENSMUSG00000079259.2"	"Trim71"	chr9	-	114515732	114515867	114524953	114525121	114507132	114514096	114562304	114564369
59	"ENSMUSG00000037470.14"	"Uggt1"	chr1	-	36164443	36164523	36165508	36165611	36163220	36163410	36170198	36170294
60	"ENSMUSG00000034192.5"	"Lsm3"	chr6	+	91517047	91517158	91519548	91519644	91515927	91516078	91522240	91522625
61	"ENSMUSG00000032497.16"	"Lrrfip2"	chr9	+	111167199	111167244	111182818	111182887	111161302	111161389	111188761	111188806
62	"ENSMUSG00000032497.16"	"Lrrfip2"	chr9	+	111173080	111173122	111182818	111182887	111161302	111161389	111188761	111188806
67	"ENSMUSG00000053510.12"	"Nrd1"	chr4	+	109056509	109056648	109058258	109058306	109056289	109056321	109058581	109058634
68	"ENSMUSG00000006442.10"	"Srm"	chr4	+	148592043	148592164	148592481	148592574	148591502	148591786	148593287	148593441
69	"ENSMUSG00000017723.11"	"Wfdc2"	chr2	+	164563307	164563451	164564056	164564212	164562578	164562804	164565791	164565938
70	"ENSMUSG00000022295.8"	"Atp6v1c1"	chr15	+	38682940	38683009	38686803	38686896	38679319	38681165	38687015	38687109
71	"ENSMUSG00000021639.16"	"Gtf2h2"	chr13	-	100479190	100479254	100480539	100480647	100477103	100477210	100481003	100481091
72	"ENSMUSG00000021639.16"	"Gtf2h2"	chr13	-	100480539	100480647	100481003	100481091	100479190	100479254	100481211	100481302
73	"ENSMUSG00000040225.15"	"Prrc2c"	chr1	-	162688115	162688217	162691140	162691233	162684054	162684256	162692372	162692624
79	"ENSMUSG00000028573.18"	"Fggy"	chr4	+	95738788	95738917	95769425	95769529	95696959	95697075	95800556	95800664
80	"ENSMUSG00000028573.18"	"Fggy"	chr4	+	95769425	95769529	95800556	95800664	95738788	95738917	95837584	95837659
83	"ENSMUSG00000029550.11"	"Sppl3"	chr5	+	115061561	115061639	115074814	115074903	115011136	115011615	115082220	115082340
84	"ENSMUSG00000015016.8"	"Acsf3"	chr8	+	122779945	122780635	122781432	122781588	122775485	122775590	122783946	122784101
85	"ENSMUSG00000026860.16"	"Sh3glb2"	chr2	-	30347080	30347104	30348554	30348617	30346610	30346700	30350287	30350380
91	"ENSMUSG00000027699.19"	"Ect2"	chr3	-	27146836	27146882	27148794	27148887	27145955	27146045	27148992	27149072
92	"ENSMUSG00000027699.19"	"Ect2"	chr3	-	27146836	27147019	27148794	27148887	27145955	27146045	27148992	27149072
93	"ENSMUSG00000022760.16"	"Thap7"	chr16	-	17528934	17529075	17530229	17530385	17527981	17528740	17530777	17530857
96	"ENSMUSG00000063052.9"	"Lrrc40"	chr3	+	158040440	158040622	158041585	158041659	158036661	158036876	158043560	158043690
104	"ENSMUSG00000018372.13"	"Cep95"	chr11	+	106801462	106801578	106804992	106805121	106800043	106800143	106806235	106806429
106	"ENSMUSG00000053119.11"	"Chmp3"	chr6	+	71574114	71574236	71577730	71577845	71560896	71561076	71579640	71579836
107	"ENSMUSG00000021012.16"	"Zc3h14"	chr12	+	98747479	98747522	98752777	98752892	98746963	98747158	98756184	98756225
108	"ENSMUSG00000021012.16"	"Zc3h14"	chr12	+	98774244	98774319	98779107	98779267	98763822	98763978	98780047	98780280
109	"ENSMUSG00000021012.16"	"Zc3h14"	chr12	+	98774244	98774319	98779107	98779267	98763822	98763978	98783581	98783702
110	"ENSMUSG00000021012.16"	"Zc3h14"	chr12	+	98779107	98779267	98780047	98780280	98774244	98774319	98783581	98783702
113	"ENSMUSG00000039068.16"	"Zzz3"	chr3	+	152422617	152422771	152427276	152428832	152420014	152420140	152446798	152446937
120	"ENSMUSG00000028587.18"	"Orc1"	chr4	+	108603387	108603489	108603964	108604136	108601955	108602053	108604499	108604607
121	"ENSMUSG00000052406.14"	"Rexo4"	chr2	-	26958478	26958567	26960223	26960417	26955494	26955569	26960602	26960740
124	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57698489	57698588	57709450	57710143	57689522	57689544	57757600	57757683
126	"ENSMUSG00000030852.17"	"Tacc2"	chr7	+	130663015	130663141	130674601	130674739	130601836	130601937	130716702	130716839
129	"ENSMUSG00000003500.13"	"Impdh1"	chr6	-	29206305	29206512	29206922	29206997	29206065	29206153	29207094	29207196
132	"ENSMUSG00000033257.14"	"Ttll4"	chr1	+	74672843	74673010	74678897	74678931	74661749	74661889	74680353	74680463
135	"ENSMUSG00000005625.15"	"Psmd4"	chr3	-	95034941	95035010	95035237	95035324	95034565	95034781	95035809	95035924
141	"ENSMUSG00000033768.16"	"Nrxn2"	chr19	+	6443630	6443648	6448254	6448284	6427804	6428778	6450527	6450599
142	"ENSMUSG00000033768.16"	"Nrxn2"	chr19	+	6443630	6443648	6448254	6448284	6427804	6428778	6454978	6455280
152	"ENSMUSG00000029922.15"	"Mkrn1"	chr6	-	39401209	39401424	39404647	39404874	39400394	39400505	39405730	39405960
156	"ENSMUSG00000038187.14"	"Btbd10"	chr7	-	113351780	113351938	113364904	113364969	113335321	113335518	113368871	113368958
158	"ENSMUSG00000020326.7"	"Ccng1"	chr11	-	40751439	40751518	40752103	40752357	40751260	40751359	40753807	40754068
161	"ENSMUSG00000019927.6"	"Ube2d1"	chr10	-	71258200	71258306	71259741	71259819	71256614	71256708	71262083	71262115
163	"ENSMUSG00000045103.17"	"Dmd"	chrX	+	85053970	85054032	85089816	85089891	85048318	85048459	85105143	85105345
171	"ENSMUSG00000037373.12"	"Ctbp1"	chr5	-	33259137	33259344	33261008	33261153	33250857	33251072	33266882	33267037
172	"ENSMUSG00000037373.12"	"Ctbp1"	chr5	-	33261008	33261153	33269441	33269634	33259137	33259344	33274778	33274992
174	"ENSMUSG00000026991.20"	"Pkp4"	chr2	+	59214677	59214814	59266387	59266500	59160849	59161128	59289217	59289252
