ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51490962	51491056	51490962	51491051	51491196	51491232
1	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51493169	51494178	51493169	51493205	51494792	51494845
2	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51494792	51494893	51494792	51494845	51495993	51496059
3	"ENSMUSG00000037747.9"	"Phyhipl"	chr10	-	70626108	70626392	70626256	70626392	70625734	70625806
4	"ENSMUSG00000041346.11"	"Wrap53"	chr11	-	69563303	69563436	69563319	69563436	69562648	69562857
5	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126240022	126240137	126240031	126240137	126238521	126238632
6	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78948180	78948413	78948180	78948338	78950903	78951055
7	"ENSMUSG00000024979.13"	"Tectb"	chr19	+	55192563	55192690	55192563	55192636	55193839	55193872
8	"ENSMUSG00000024979.13"	"Tectb"	chr19	+	55192563	55192909	55192563	55192636	55193839	55193872
9	"ENSMUSG00000024979.13"	"Tectb"	chr19	+	55192563	55192909	55192563	55192690	55193839	55193872
10	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1161174	1161230	1161178	1161230	1157906	1158634
11	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1176490	1176584	1176495	1176584	1174727	1174854
12	"ENSMUSG00000035458.15"	"Tnni3"	chr7	-	4521815	4522082	4521967	4522082	4521344	4521386
13	"ENSMUSG00000006386.15"	"Tek"	chr4	+	94851722	94851877	94851722	94851874	94853368	94853579
14	"ENSMUSG00000037469.9"	"Papl"	chr7	-	28630296	28630507	28630473	28630507	28629458	28629710
15	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130714455	130714575	130714465	130714575	130708075	130708201
16	"ENSMUSG00000039795.14"	"Zfand1"	chr3	-	10351168	10351317	10351241	10351317	10348509	10348552
17	"ENSMUSG00000044937.15"	"Ttc41"	chr10	+	86759088	86759236	86759088	86759176	86760765	86760918
18	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896312	70896145	70896312	70895915	70896045
19	"ENSMUSG00000058400.13"	"Qrfpr"	chr3	-	36182453	36182689	36182566	36182689	36180944	36181042
20	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145118599	145118782	145118599	145118659	145124210	145124375
21	"ENSMUSG00000114791.1"	"RP23-21N15.7"	chr13	-	37440056	37440454	37440175	37440454	37439592	37439839
22	"ENSMUSG00000114791.1"	"RP23-21N15.7"	chr13	-	37440056	37440454	37440180	37440454	37439592	37439839
23	"ENSMUSG00000114791.1"	"RP23-21N15.7"	chr13	-	37440175	37440454	37440180	37440454	37439592	37439839
24	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30873115	30873419	30873134	30873419	30872735	30872999
25	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30879176	30879340	30879194	30879340	30878049	30878107
26	"ENSMUSG00000039737.11"	"Prkrip1"	chr5	-	136197779	136197858	136197849	136197858	136189551	136189619
27	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35643887	35644124	35643887	35643991	35661491	35661625
28	"ENSMUSG00000070953.13"	"Rabepk"	chr2	-	34797370	34797433	34797374	34797433	34795171	34795329
29	"ENSMUSG00000005125.13"	"Ndrg1"	chr15	-	66948450	66948484	66948462	66948484	66944775	66944834
30	"ENSMUSG00000090112.8"	"Shprh"	chr10	+	11171872	11172001	11171872	11171994	11178733	11178822
31	"ENSMUSG00000090112.8"	"Shprh"	chr10	+	11187939	11188165	11187939	11188036	11189630	11189774
32	"ENSMUSG00000071691.11"	"RP24-168G14.1"	chr19	-	4660229	4660289	4660233	4660289	4659426	4659498
33	"ENSMUSG00000019820.11"	"Utrn"	chr10	-	12765238	12765332	12765270	12765332	12751494	12751587
34	"ENSMUSG00000062012.14"	"Zfp13"	chr17	-	23581056	23581270	23581077	23581270	23580770	23580862
35	"ENSMUSG00000038838.15"	"Vars2"	chr17	-	35657923	35658338	35658131	35658338	35657206	35657318
36	"ENSMUSG00000038838.15"	"Vars2"	chr17	-	35659259	35659389	35659261	35659389	35659026	35659179
37	"ENSMUSG00000053110.13"	"Yap1"	chr9	-	7962282	7962402	7962288	7962402	7952952	7953134
38	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8743352	8743502	8743352	8743423	8748460	8748577
39	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8748806	8748899	8748806	8748888	8749665	8749772
40	"ENSMUSG00000020918.14"	"Kat2a"	chr11	-	100710249	100710636	100710444	100710636	100709382	100709489
41	"ENSMUSG00000024247.14"	"Pkdcc"	chr17	+	83222125	83222230	83222125	83222198	83223782	83223956
42	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76595336	76595453	76595336	76595442	76595538	76595816
43	"ENSMUSG00000022906.15"	"Parp9"	chr16	+	35943368	35943510	35943368	35943402	35945768	35945952
44	"ENSMUSG00000022906.15"	"Parp9"	chr16	+	35943368	35943510	35943368	35943402	35947500	35948354
45	"ENSMUSG00000073856.11"	"Iqck"	chr7	+	118872820	118872894	118872820	118872885	118876241	118876371
46	"ENSMUSG00000060950.12"	"Trmt61a"	chr12	+	111678104	111678300	111678104	111678161	111678602	111678962
47	"ENSMUSG00000086010.7"	"RP23-418C19.4"	chr17	+	31159010	31159087	31159010	31159078	31161420	31161488
48	"ENSMUSG00000047034.10"	"Ankrd33"	chr15	+	101116114	101116348	101116114	101116304	101116576	101116706
49	"ENSMUSG00000097767.8"	"Miat"	chr5	-	112228300	112228356	112228308	112228356	112228054	112228178
50	"ENSMUSG00000039308.6"	"Ndst2"	chr14	-	20724710	20724820	20724747	20724820	20724460	20724563
51	"ENSMUSG00000026921.18"	"Egfl7"	chr2	+	26592117	26592280	26592117	26592241	26592417	26592681
52	"ENSMUSG00000004296.14"	"Il12b"	chr11	+	44400062	44400224	44400062	44400118	44404036	44404124
53	"ENSMUSG00000030866.8"	"Ern2"	chr7	-	122170500	122170624	122170504	122170624	122170353	122170421
54	"ENSMUSG00000052337.15"	"Immt"	chr6	+	71872793	71872923	71872793	71872894	71874316	71875250
55	"ENSMUSG00000037426.17"	"Depdc5"	chr5	+	32904458	32904544	32904458	32904532	32910456	32910526
56	"ENSMUSG00000026634.16"	"Angel2"	chr1	+	190928491	190928758	190928491	190928717	190932866	190933192
57	"ENSMUSG00000026634.16"	"Angel2"	chr1	+	190940873	190941458	190940873	190941295	190942120	190942247
58	"ENSMUSG00000048747.14"	"RP23-313O9.1"	chr4	-	97569159	97569278	97569181	97569278	97568132	97568964
59	"ENSMUSG00000048747.14"	"RP23-313O9.1"	chr4	-	97574800	97574921	97574818	97574921	97569181	97569278
60	"ENSMUSG00000029559.15"	"RP24-297N9.8"	chr5	+	114945785	114945907	114945785	114945828	114946017	114946116
61	"ENSMUSG00000029060.17"	"Mib2"	chr4	-	155658893	155659265	155659122	155659265	155657854	155657959
62	"ENSMUSG00000033029.12"	"RP23-414K1.4"	chr15	-	79140768	79140992	79140880	79140992	79139237	79139300
63	"ENSMUSG00000035597.19"	"Prpf39"	chr12	+	65043231	65043877	65043231	65043357	65044005	65044124
64	"ENSMUSG00000041353.12"	"Tmem29"	chrX	-	150458961	150459154	150459071	150459154	150420341	150420441
65	"ENSMUSG00000060988.12"	"Galnt13"	chr2	+	55073897	55074104	55073897	55073996	55098562	55098697
66	"ENSMUSG00000041674.16"	"RP23-349B9.1"	chr11	-	112711278	112711341	112711281	112711341	112711081	112711188
67	"ENSMUSG00000038860.15"	"Garnl3"	chr2	-	33104848	33105023	33104852	33105023	33085874	33085944
68	"ENSMUSG00000073433.10"	"Arhgdig"	chr17	-	26199751	26199828	26199769	26199828	26199612	26199676
69	"ENSMUSG00000034485.10"	"Uaca"	chr9	+	60854315	60854503	60854315	60854497	60856197	60856235
70	"ENSMUSG00000040563.13"	"Plppr2"	chr9	+	21946945	21947068	21946945	21947052	21947380	21947432
71	"ENSMUSG00000021716.14"	"Srek1ip1"	chr13	+	104832853	104833105	104832853	104832997	104834247	104834320
72	"ENSMUSG00000079109.11"	"Pms2"	chr5	+	143925220	143926073	143925220	143925501	143928098	143928266
73	"ENSMUSG00000004626.14"	"Stxbp2"	chr8	+	3631152	3631278	3631152	3631204	3632219	3632269
74	"ENSMUSG00000004626.14"	"Stxbp2"	chr8	+	3632499	3632600	3632499	3632581	3633290	3633367
75	"ENSMUSG00000036120.10"	"Rfxank"	chr8	-	70135535	70135631	70135565	70135631	70135290	70135391
76	"ENSMUSG00000020821.17"	"Kif1c"	chr11	+	70725103	70725212	70725103	70725176	70725887	70726502
77	"ENSMUSG00000074259.10"	"Gramd2"	chr9	+	59712083	59712179	59712083	59712146	59713795	59713940
78	"ENSMUSG00000015363.13"	"Trabd"	chr15	+	89081352	89081453	89081352	89081431	89081950	89082117
79	"ENSMUSG00000015363.13"	"Trabd"	chr15	+	89085273	89085457	89085273	89085446	89085525	89085637
