ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51491433	51492163	51491433	51491718	51491860	51492163
1	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51493169	51494178	51493169	51493205	51494061	51494178
2	"ENSMUSG00000085054.2"	"AC118698.3"	chr1	+	58510570	58512266	58510570	58510644	58512138	58512266
3	"ENSMUSG00000025470.11"	"Zfp511"	chr7	+	140039325	140040602	140039325	140039445	140040242	140040602
4	"ENSMUSG00000048067.8"	"Olfr1349"	chr7	-	6519972	6520305	6519972	6520069	6520182	6520305
5	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126233892	126234236	126233892	126233997	126234097	126234236
6	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126236895	126237278	126236895	126237059	126237155	126237278
7	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78991328	78993432	78991328	78991438	78992903	78993432
8	"ENSMUSG00000035458.15"	"Tnni3"	chr7	-	4521815	4522082	4521815	4521902	4522069	4522082
9	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92342245	92345101	92342245	92342412	92344955	92345101
10	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697016	130698085	130697016	130697085	130697905	130698085
11	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697696	130698743	130697696	130698085	130698678	130698743
12	"ENSMUSG00000025731.15"	"RP23-356J2.10"	chr17	+	25876660	25877169	25876660	25876739	25876949	25877169
13	"ENSMUSG00000021336.17"	"Slc17a4"	chr13	-	23904711	23905330	23904711	23904798	23905242	23905330
14	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895378	70895709	70895378	70895507	70895599	70895709
15	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895599	70896045	70895599	70895709	70895915	70896045
16	"ENSMUSG00000003437.14"	"Paf1"	chr7	+	28395417	28395695	28395417	28395539	28395628	28395695
17	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65589004	65589604	65589004	65589137	65589450	65589604
18	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145126092	145127890	145126092	145126225	145127830	145127890
19	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145145875	145148616	145145875	145145953	145148530	145148616
20	"ENSMUSG00000029772.17"	"Ahcyl2"	chr6	+	29863142	29867419	29863142	29863251	29864162	29867419
21	"ENSMUSG00000029772.17"	"Ahcyl2"	chr6	+	29906507	29906759	29906507	29906576	29906680	29906759
22	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915729	26915954	26916006
23	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915749	26915954	26916006
24	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915769	26915954	26916006
25	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35728057	35730994	35728057	35728128	35729110	35730994
26	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35728057	35730992	35728057	35728128	35730423	35730992
27	"ENSMUSG00000034744.13"	"Nagk"	chr6	+	83796906	83797275	83796906	83796991	83797176	83797275
