ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149654022	149654138	149654022	149654135	149654224	149654403	5	2,0,0,0	9,2,1,6	0,0,0,0	1,0,0,0	41	39	1	1.0	0.174,0.0,0.0,0.0	0.0,NA,NA,NA	0.043
6	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149655126	149655257	149655126	149655248	149655335	149655500	6	2,0,0,3	0,0,0,0	1,0,0,0	2,0,1,0	47	39	1	1.0	1.0,NA,NA,1.0	0.293,NA,0.0,NA	0.854
9	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21686012	21686275	21686021	21686275	21678928	21679147	9	106,63,115,81	139,52,78,62	52,67,45,91	65,67,71,83	47	39	0.1289310756	0.622554060278	0.388,0.501,0.55,0.52	0.399,0.453,0.345,0.476	0.072
10	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21699799	21699908	21699802	21699908	21686021	21686275	10	47,31,29,20	12,29,32,13	33,46,53,48	12,25,12,20	41	39	0.0591323892856	0.366472982598	0.788,0.504,0.463,0.594	0.723,0.636,0.808,0.695	-0.128
12	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1170903	1171002	1170903	1170954	1174727	1174854	12	23,15,13,3	3,0,0,0	4,12,11,8	0,0,0,0	78	39	1	1.0	0.793,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.052
13	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92235573	92235731	92235573	92235728	92249826	92249938	13	14,1,10,6	8,10,10,0	3,3,7,3	5,5,2,15	41	39	0.359257277451	1.0	0.625,0.087,0.487,1.0	0.363,0.363,0.769,0.16	0.136
14	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92351230	92351451	92351230	92351360	92353224	92353342	14	17,21,16,24	0,0,0,1	9,16,23,54	0,0,0,0	78	39	1	1.0	1.0,1.0,1.0,0.923	1.0,1.0,1.0,1.0	-0.019
19	"ENSMUSG00000039795.14"	"Zfand1"	chr3	-	10340993	10341149	10340993	10341145	10344800	10344922	19	15,15,9,14	9,2,0,2	7,10,8,20	5,5,0,2	42	39	0.77045487445	1.0	0.607,0.874,1.0,0.867	0.565,0.65,1.0,0.903	0.057
20	"ENSMUSG00000039795.14"	"Zfand1"	chr3	-	10347164	10347411	10347164	10347204	10348509	10348552	20	1,1,0,0	0,0,7,0	0,10,0,9	1,0,2,2	78	39	1	1.0	1.0,1.0,0.0,NA	0.0,1.0,0.0,0.692	0.244
21	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895599	70896045	70895599	70895709	70896132	70896312	21	3486,1846,2565,1754	5,0,14,0	1846,2202,1621,2218	1,2,3,4	78	39	1	1.0	0.997,1.0,0.989,1.0	0.999,0.998,0.996,0.996	-0.001
22	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65591686	65591859	65591719	65591859	65589947	65590054	22	5,1,5,0	0,0,15,1	0,8,9,2	6,0,0,12	71	39	0.784919093947	1.0	1.0,1.0,0.155,0.0	0.0,1.0,1.0,0.084	0.018
23	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145145875	145148616	145148530	145148616	145144311	145144416	23	0,3,2,0	4,2,8,3	3,0,0,0	4,14,3,2	78	39	0.357678869444	1.0	0.0,0.429,0.111,0.0	0.273,0.0,0.0,0.0	0.067
24	"ENSMUSG00000040613.14"	"Apobec1"	chr6	-	122591086	122591260	122591086	122591204	122596631	122596777	24	2,0,8,8	2,7,13,7	0,4,0,2	5,7,3,0	78	39	0.0848520825667	0.479153331852	0.333,0.0,0.235,0.364	0.0,0.222,0.0,1.0	-0.072
30	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26913576	26913690	26913576	26913658	26913912	26914075	30	0,7,1,4	20,20,10,17	0,2,0,0	29,12,16,23	70	39	0.000432816861957	0.0123215783282	0.0,0.163,0.053,0.116	0.0,0.085,0.0,0.0	0.062
