ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51491433	51491718	51491196	51491232	51491860	51492163
1	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51494061	51494178	51493169	51493205	51494792	51494845
2	"ENSMUSG00000037747.9"	"Phyhipl"	chr10	-	70609664	70609756	70607486	70607600	70625734	70625806
3	"ENSMUSG00000037747.9"	"Phyhipl"	chr10	-	70614131	70614245	70607486	70607600	70625734	70625806
4	"ENSMUSG00000037747.9"	"Phyhipl"	chr10	-	70626256	70626392	70625734	70625806	70655892	70655965
5	"ENSMUSG00000032298.13"	"Neil1"	chr9	-	57143757	57143819	57143450	57143613	57143978	57144006
6	"ENSMUSG00000041346.11"	"Wrap53"	chr11	-	69562121	69562259	69561757	69562019	69562393	69562497
7	"ENSMUSG00000062905.2"	"Vmn1r32"	chr6	-	66556610	66556782	66552179	66554426	66559682	66560096
8	"ENSMUSG00000062861.8"	"Zfp28"	chr7	+	6384344	6384391	6384174	6384266	6389432	6389559
9	"ENSMUSG00000062861.8"	"Zfp28"	chr7	+	6392181	6392296	6390399	6390560	6393366	6396915
10	"ENSMUSG00000062861.8"	"Zfp28"	chr7	+	6392593	6392713	6392181	6392296	6393366	6393589
11	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149656603	149656700	149656380	149656511	149657245	149657455
12	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149697048	149697223	149674075	149674194	149698554	149698604
13	"ENSMUSG00000091694.9"	"Apol11b"	chr15	-	77637934	77638058	77633945	77635717	77640546	77640627
14	"ENSMUSG00000091694.9"	"Apol11b"	chr15	-	77642128	77642289	77640546	77640627	77642650	77642890
15	"ENSMUSG00000091694.9"	"Apol11b"	chr15	-	77642650	77642890	77640546	77640627	77643201	77643270
16	"ENSMUSG00000025470.11"	"Zfp511"	chr7	+	140037219	140037421	140036819	140036893	140037515	140037640
17	"ENSMUSG00000037706.17"	"Cd81"	chr7	+	143065942	143066017	143064673	143065306	143066247	143066310
18	"ENSMUSG00000031024.13"	"St5"	chr7	-	109556210	109557461	109552974	109553111	109570006	109570111
19	"ENSMUSG00000031024.13"	"St5"	chr7	-	109570006	109570111	109556210	109557461	109616297	109616391
20	"ENSMUSG00000052058.3"	"Olfr901"	chr9	+	38429950	38430046	38429458	38429677	38430266	38432682
21	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21632804	21633054	21616168	21616400	21634749	21634882
22	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21677952	21678051	21677449	21677677	21678315	21678393
23	"ENSMUSG00000048067.8"	"Olfr1349"	chr7	-	6520182	6520294	6519972	6520072	6522813	6522834
24	"ENSMUSG00000048067.8"	"Olfr1349"	chr7	-	6520182	6522284	6519972	6520072	6522813	6522888
25	"ENSMUSG00000073947.4"	"Olfr615"	chr7	+	103556527	103556593	103556078	103556112	103560429	103563798
26	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126238521	126238632	126236895	126237278	126240022	126240137
27	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126238521	126238632	126236895	126237278	126240031	126240137
28	"ENSMUSG00000020634.12"	"Ubxn2a"	chr12	-	4891314	4891421	4885720	4885858	4894537	4894679
29	"ENSMUSG00000095864.2"	"Vmn1r77"	chr7	+	12040345	12040503	12036751	12036902	12041349	12049292
30	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78976466	78976544	78973251	78974292	78987891	78987948
31	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78978613	78978751	78976466	78976544	78987891	78987948
32	"ENSMUSG00000029392.12"	"Rilpl1"	chr5	-	124495898	124495922	124493651	124493844	124501839	124501932
33	"ENSMUSG00000029392.12"	"Rilpl1"	chr5	-	124496182	124496270	124493663	124493844	124501839	124501932
