ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
5	"ENSMUSG00000032298.13"	"Neil1"	chr9	-	57143757	57143819	57143450	57143613	57143978	57144006
6	"ENSMUSG00000041346.11"	"Wrap53"	chr11	-	69562121	69562259	69561757	69562019	69562393	69562497
11	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149656603	149656700	149656380	149656511	149657245	149657455
17	"ENSMUSG00000037706.17"	"Cd81"	chr7	+	143065942	143066017	143064673	143065306	143066247	143066310
21	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21632804	21633054	21616168	21616400	21634749	21634882
38	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1099581	1099752	1096860	1098573	1102764	1102891
39	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871
50	"ENSMUSG00000048445.6"	"Ccdc57"	chr11	-	120895256	120895419	120894598	120894733	120897808	120897967
56	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92353224	92353342	92351126	92351451	92354762	92354953
65	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65179762	65179815	65175230	65175368	65186208	65186459
66	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65181627	65181698	65175230	65175368	65186208	65186459
75	"ENSMUSG00000073460.4"	"Pnldc1"	chr17	-	12897260	12897330	12895511	12895597	12899532	12899676
76	"ENSMUSG00000021911.16"	"Parg"	chr14	+	32208156	32208223	32201948	32202465	32208711	32209233
78	"ENSMUSG00000021911.16"	"Parg"	chr14	+	32262683	32262831	32258077	32258153	32271629	32271708
79	"ENSMUSG00000006850.7"	"Tmco6"	chr18	+	36741051	36741146	36739154	36739341	36741661	36741829
98	"ENSMUSG00000039055.4"	"Eme1"	chr11	-	94647290	94647406	94645815	94646005	94647627	94647748
99	"ENSMUSG00000039055.4"	"Eme1"	chr11	-	94650222	94651023	94650007	94650138	94653695	94653964
101	"ENSMUSG00000021067.8"	"Sav1"	chr12	-	69969069	69969213	69965011	69966347	69984208	69984652
102	"ENSMUSG00000021067.8"	"Sav1"	chr12	-	69975967	69976238	69969069	69969213	69984208	69984652
111	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895915	70896045	70895378	70895709	70896132	70896180
112	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895915	70896045	70895378	70895709	70897358	70897396
113	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896180	70895599	70895709	70897358	70897399
114	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896180	70895915	70896045	70897358	70897399
115	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896312	70895378	70895709	70897358	70897396
116	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896312	70895599	70896045	70897358	70897396
117	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896145	70896312	70895915	70896045	70897358	70897400
120	"ENSMUSG00000013089.15"	"Etv5"	chr16	-	22401671	22401931	22399319	22399379	22411632	22411920
122	"ENSMUSG00000013089.15"	"Etv5"	chr16	-	22436019	22436067	22435876	22435927	22436200	22436288
125	"ENSMUSG00000002668.7"	"Dennd1c"	chr17	-	57067916	57067949	57067788	57067833	57070112	57070184
132	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65589214	65589340	65589004	65589137	65589450	65589604
133	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65591686	65591859	65589947	65590054	65592123	65592230
134	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65591719	65591859	65589947	65590054	65592123	65592230
135	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65593456	65593602	65593261	65593349	65594386	65594578
136	"ENSMUSG00000024413.13"	"Npc1"	chr18	-	12223032	12223155	12217993	12221912	12236180	12236326
155	"ENSMUSG00000039737.11"	"Prkrip1"	chr5	-	136194296	136194397	136189551	136189619	136197779	136197858
158	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918276	79918476	79915806	79918050	79921371	79921438
159	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918752	79918825	79918109	79918476	79921371	79921438
160	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918752	79918927	79918416	79918476	79921371	79921438
161	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918752	79919104	79915809	79918476	79921371	79921438
163	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79930585	79930629	79923471	79923537	79970868	79971118
169	"ENSMUSG00000002833.11"	"Hdgfrp2"	chr17	+	56097881	56097985	56097234	56097526	56098483	56098557
171	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126891602	126891832	126886221	126886315	126896748	126896876
172	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126896748	126896938	126890980	126891832	126897025	126897224
173	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126896748	126896938	126890980	126891832	126898223	126898281
174	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126897025	126897224	126891602	126891832	126898223	126898253
176	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126897025	126897227	126891602	126891832	126898223	126898276
179	"ENSMUSG00000069170.14"	"Adgrv1"	chr13	-	81424222	81424397	81422128	81422264	81427602	81427746
180	"ENSMUSG00000069170.14"	"Adgrv1"	chr13	-	81430306	81430599	81427602	81427746	81433424	81433898
181	"ENSMUSG00000012483.4"	"Rpa3"	chr6	-	8257686	8257761	8256694	8256803	8258999	8259173
185	"ENSMUSG00000070953.13"	"Rabepk"	chr2	-	34797374	34797433	34790502	34790655	34799750	34799754
198	"ENSMUSG00000037295.7"	"Ldlrap1"	chr4	-	134758918	134759061	134757340	134757453	134767815	134768024
207	"ENSMUSG00000024772.9"	"Ehd1"	chr19	+	6294213	6294626	6281217	6281315	6297532	6297697
209	"ENSMUSG00000032939.14"	"Nup93"	chr8	+	94281270	94281333	94243653	94243771	94286488	94286552
210	"ENSMUSG00000032939.14"	"Nup93"	chr8	+	94286488	94286617	94243653	94243771	94292667	94292742
211	"ENSMUSG00000032939.14"	"Nup93"	chr8	+	94309587	94309705	94308903	94309022	94310298	94310382
228	"ENSMUSG00000031546.6"	"Gins4"	chr8	-	23227248	23227339	23226615	23227175	23229415	23229504
232	"ENSMUSG00000029407.10"	"Uso1"	chr5	+	92198335	92198434	92195347	92195434	92199816	92199924
233	"ENSMUSG00000021978.9"	"Extl3"	chr14	-	65080379	65080475	65075583	65078189	65097996	65098106
234	"ENSMUSG00000021978.9"	"Extl3"	chr14	-	65080379	65080515	65075583	65078189	65097996	65098105
235	"ENSMUSG00000019820.11"	"Utrn"	chr10	-	12486385	12486654	12481223	12481370	12501377	12501507
238	"ENSMUSG00000023971.8"	"Rrp36"	chr17	-	46672705	46672847	46672524	46672591	46674196	46674255
239	"ENSMUSG00000029387.10"	"Gtf2h3"	chr5	+	124594762	124594831	124592480	124592534	124595552	124595596
240	"ENSMUSG00000029387.10"	"Gtf2h3"	chr5	+	124595552	124595688	124594762	124594831	124595802	124595839
243	"ENSMUSG00000052726.15"	"Kcnt2"	chr1	+	140523087	140523260	140518865	140518971	140533860	140533995
256	"ENSMUSG00000031485.15"	"Prosc"	chr8	+	27051258	27051401	27049173	27049308	27052235	27052334
257	"ENSMUSG00000086638.7"	"RP23-188D9.5"	chr2	-	156716094	156716245	156714539	156715049	156716884	156717013
260	"ENSMUSG00000066900.11"	"Suds3"	chr5	-	117099300	117099322	117098270	117098376	117099476	117099538
268	"ENSMUSG00000053110.13"	"Yap1"	chr9	-	7962282	7962402	7952952	7953134	7973795	7973911
269	"ENSMUSG00000053110.13"	"Yap1"	chr9	-	7962288	7962402	7952952	7953134	7973795	7973911
270	"ENSMUSG00000032096.16"	"Arcn1"	chr9	-	44745417	44745622	44741563	44744016	44750324	44750433
