ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"ENSMUSG00000025470.11"	"Zfp511"	chr7	+	140039325	140040602	140039325	140039445	140040242	140040602	3	37,20,39,0	28,7,10,0	41,36,17,18	11,10,4,7	836	39	1	1.0	0.058,0.118,0.154,NA	0.148,0.144,0.165,0.107	-0.031
5	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126233892	126234236	126233892	126233997	126234097	126234236	5	0,3,0,0	20,27,31,20	0,2,1,0	25,52,25,20	139	39	1	1.0	0.0,0.03,0.0,0.0	0.0,0.011,0.011,0.0	0.002
6	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126236895	126237278	126236895	126237059	126237155	126237278	6	35,18,57,62	3,2,17,7	86,62,31,35	3,10,3,7	135	39	0.348606210097	0.860506530223	0.771,0.722,0.492,0.719	0.892,0.642,0.749,0.591	-0.042
7	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78991328	78993432	78991328	78991438	78992903	78993432	7	2,5,18,0	31,34,45,14	2,9,4,1	22,15,11,24	1504	39	1	1.0	0.002,0.004,0.01,0.0	0.002,0.015,0.009,0.001	-0.003
8	"ENSMUSG00000035458.15"	"Tnni3"	chr7	-	4521815	4522082	4521815	4521902	4522069	4522082	8	2,3,2,15	6,0,0,0	1,0,0,0	8,0,0,0	206	39	1	1.0	0.059,1.0,1.0,1.0	0.023,NA,NA,NA	0.742
9	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92342245	92345101	92342245	92342412	92344955	92345101	9	23,11,26,7	13,10,0,0	6,10,26,19	5,5,1,16	2582	39	0.451598217486	0.992343096086	0.026,0.016,1.0,1.0	0.018,0.029,0.282,0.018	0.424
11	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697696	130698743	130697696	130698085	130698678	130698743	11	3,0,4,0	3,8,4,0	0,0,13,0	3,0,0,0	632	39	1	1.0	0.058,0.0,0.058,NA	0.0,NA,1.0,NA	-0.461
12	"ENSMUSG00000025731.15"	"RP23-356J2.10"	chr17	+	25876660	25877169	25876660	25876739	25876949	25877169	12	50,36,70,93	4,13,4,4	39,75,31,80	8,3,5,9	249	39	0.740856690765	1.0	0.662,0.303,0.733,0.785	0.433,0.797,0.493,0.582	0.045
14	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895378	70895709	70895378	70895507	70895599	70895709	14	32,17,23,15	2847,1488,2250,1336	20,9,14,20	1829,2257,1583,2043	131	39	1	1.0	0.003,0.003,0.003,0.003	0.003,0.001,0.003,0.003	0.001
15	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895599	70896045	70895599	70895709	70895915	70896045	15	295,145,194,161	4207,2297,3257,2055	152,203,128,164	2314,2470,1956,2762	245	39	1	1.0	0.011,0.01,0.009,0.012	0.01,0.013,0.01,0.009	-0.0
