ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000037747.9"	"Phyhipl"	chr10	-	70609664	70609756	70614131	70614245	70607486	70607600	70625734	70625806
1	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47508175	47508267	47509056	47509229	47507264	47507446	47526204	47526314
2	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895915	70896045	70896132	70896312	70895378	70895709	70897358	70897396
3	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895915	70896045	70896132	70896180	70895599	70895709	70897358	70897399
4	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145126092	145126225	145127022	145127151	145124210	145124375	145127830	145127890
5	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145145875	145145953	145146762	145146921	145144311	145144416	145148530	145148616
6	"ENSMUSG00000070953.13"	"Rabepk"	chr2	-	34790502	34790655	34795171	34795329	34785566	34785728	34797374	34797433
7	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82737012	82737087	82747082	82747142	82735418	82735507	82750519	82750604
8	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82741817	82741976	82745523	82745556	82735418	82735507	82747082	82747142
9	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82741817	82741976	82747082	82747142	82735418	82735507	82750519	82750604
10	"ENSMUSG00000030007.8"	"Cct7"	chr6	+	85459941	85460048	85461086	85461170	85459114	85459268	85461507	85461560
11	"ENSMUSG00000029387.10"	"Gtf2h3"	chr5	+	124594762	124594831	124595552	124595688	124592480	124592534	124595802	124595839
12	"ENSMUSG00000052726.15"	"Kcnt2"	chr1	+	140484124	140484233	140507699	140507849	140450195	140450304	140509383	140509613
13	"ENSMUSG00000074272.10"	"Ceacam1"	chr7	-	25465467	25465520	25466316	25466437	25464848	25464880	25471797	25472073
14	"ENSMUSG00000079418.3"	"Atg4a"	chrX	+	140988165	140988237	140988279	140988365	140986278	140986389	140990157	140990256
15	"ENSMUSG00000053110.13"	"Yap1"	chr9	-	7939139	7939152	7950491	7950539	7938407	7938538	7952952	7953134
16	"ENSMUSG00000053110.13"	"Yap1"	chr9	-	7939139	7939164	7950491	7950539	7938407	7938538	7952952	7953134
17	"ENSMUSG00000026276.20"	"Sept2"	chr1	+	93491156	93491277	93495578	93495665	93478989	93479068	93497340	93497464
18	"ENSMUSG00000026765.12"	"Lypd6b"	chr2	+	49903375	49903452	49920305	49920386	49863810	49863906	49930924	49930984
19	"ENSMUSG00000027601.13"	"Mtfr1"	chr3	+	19200640	19200702	19206451	19206550	19200025	19200167	19211467	19211583
20	"ENSMUSG00000025290.17"	"Rps24"	chr14	+	24494051	24494069	24495429	24495449	24493382	24493493	24495774	24495845
21	"ENSMUSG00000029074.14"	"Ttll10"	chr4	-	156047562	156047643	156048291	156048704	156047349	156047482	156050200	156050266
22	"ENSMUSG00000032359.14"	"Ctsh"	chr9	+	90061394	90061476	90061501	90061624	90060478	90060510	90062716	90062787
23	"ENSMUSG00000032359.14"	"Ctsh"	chr9	+	90061394	90061476	90061518	90061624	90060478	90060510	90062716	90062787
24	"ENSMUSG00000022094.15"	"Slc39a14"	chr14	-	70313600	70313770	70315663	70315833	70310855	70310975	70316437	70316624
25	"ENSMUSG00000033029.12"	"RP23-414K1.4"	chr15	-	79136306	79136489	79139237	79139300	79135636	79135765	79140880	79140992
26	"ENSMUSG00000041674.16"	"RP23-349B9.1"	chr11	-	112680921	112680950	112691291	112691435	112672917	112672972	112691502	112691714
27	"ENSMUSG00000019373.11"	"Cops3"	chr11	-	59830146	59830239	59832883	59832933	59827845	59828025	59833031	59833144
28	"ENSMUSG00000073433.10"	"Arhgdig"	chr17	-	26199751	26199828	26200014	26200098	26199612	26199676	26200190	26200370
29	"ENSMUSG00000073433.10"	"Arhgdig"	chr17	-	26199769	26199828	26200014	26200098	26199612	26199676	26200190	26200370
30	"ENSMUSG00000027316.15"	"Gfra4"	chr2	-	131040398	131040475	131041015	131041150	131039631	131040325	131041231	131041341
31	"ENSMUSG00000040428.19"	"Plekha4"	chr7	+	45553244	45553294	45553568	45553681	45549803	45549965	45553764	45554229
32	"ENSMUSG00000039217.13"	"Il18"	chr9	+	50576693	50576705	50577536	50577548	50575272	50575348	50577760	50577892
33	"ENSMUSG00000038481.13"	"Cdk19"	chr10	+	40454014	40454072	40466637	40466769	40436071	40436212	40469578	40469722
34	"ENSMUSG00000035310.15"	"Lin54"	chr5	-	100459585	100459802	100475688	100475831	100454434	100454508	100485139	100485855
35	"ENSMUSG00000056763.16"	"Cspp1"	chr1	+	10104211	10104364	10108368	10108481	10095865	10096013	10112392	10112542
36	"ENSMUSG00000063972.13"	"Nr6a1"	chr2	-	38760186	38760429	38872594	38872639	38748835	38748891	38885195	38885237
37	"ENSMUSG00000017978.18"	"Cadps2"	chr6	-	23344582	23344591	23354193	23354202	23344206	23344363	23355823	23355927
38	"ENSMUSG00000020964.14"	"Sel1l"	chr12	-	91831766	91831784	91833054	91833222	91831568	91831674	91841637	91841854
39	"ENSMUSG00000020964.14"	"Sel1l"	chr12	-	91831766	91831784	91833204	91833222	91831568	91831674	91841637	91841854
40	"ENSMUSG00000062234.14"	"Gak"	chr5	-	108613512	108613638	108616908	108617051	108609390	108609480	108623259	108623374
41	"ENSMUSG00000022378.14"	"Fam49b"	chr15	-	63956599	63956682	63957584	63957667	63950005	63950127	63970929	63970968
42	"ENSMUSG00000022378.14"	"Fam49b"	chr15	-	63956599	63956682	63970929	63970968	63950005	63950127	63997897	63997969
43	"ENSMUSG00000022378.14"	"Fam49b"	chr15	-	63956599	63956682	63970929	63970968	63950005	63950127	64022569	64022620
44	"ENSMUSG00000038126.17"	"Mphosph9"	chr5	-	124316081	124316171	124320844	124320998	124315372	124315896	124324873	124325137
45	"ENSMUSG00000110344.1"	"RP23-220F20.2"	chr11	+	90228034	90228189	90248804	90249735	90208983	90209046	90250770	90251255
46	"ENSMUSG00000004110.16"	"Cacna1e"	chr1	-	154416060	154416157	154417949	154418046	154413975	154414081	154421027	154421155
47	"ENSMUSG00000004110.16"	"Cacna1e"	chr1	-	154450845	154450857	154452227	154452239	154448845	154448942	154465718	154465825
48	"ENSMUSG00000047213.14"	"Ythdf3"	chr3	+	16183921	16183946	16186966	16187115	16183235	16183520	16189477	16189563
49	"ENSMUSG00000115164.2"	"RP24-400C14.2"	chr15	-	63070697	63070761	63117721	63117830	63067917	63067991	63118735	63118824
50	"ENSMUSG00000115164.2"	"RP24-400C14.2"	chr15	-	63118735	63118824	63138689	63138949	63070697	63070761	63139442	63139547
51	"ENSMUSG00000018412.16"	"Kansl1"	chr11	-	104378684	104378826	104423921	104425293	104357480	104357596	104441724	104442291
52	"ENSMUSG00000026189.13"	"Pecr"	chr1	-	72275652	72275802	72276165	72276331	72274885	72274967	72277286	72277420
53	"ENSMUSG00000045983.15"	"Eif4g1"	chr16	+	20673598	20673655	20673867	20673961	20672748	20672876	20674227	20674314
54	"ENSMUSG00000045983.15"	"Eif4g1"	chr16	+	20674227	20674314	20675343	20675520	20672822	20672876	20675729	20675829
55	"ENSMUSG00000030231.11"	"Plekha5"	chr6	+	140591627	140591764	140593554	140593657	140589645	140589755	140596248	140597110
56	"ENSMUSG00000029913.14"	"Prdm5"	chr6	+	65859356	65859478	65862914	65862994	65857642	65857817	65869180	65869265
57	"ENSMUSG00000022151.16"	"Ttc33"	chr15	+	5189581	5189803	5208368	5208450	5185524	5185572	5211998	5212130
58	"ENSMUSG00000079259.2"	"Trim71"	chr9	-	114515732	114515867	114524953	114525121	114507132	114514096	114562304	114564369
59	"ENSMUSG00000037470.14"	"Uggt1"	chr1	-	36164443	36164523	36165508	36165611	36163220	36163410	36170198	36170294
60	"ENSMUSG00000034192.5"	"Lsm3"	chr6	+	91517047	91517158	91519548	91519644	91515927	91516078	91522240	91522625
61	"ENSMUSG00000032497.16"	"Lrrfip2"	chr9	+	111167199	111167244	111182818	111182887	111161302	111161389	111188761	111188806
62	"ENSMUSG00000032497.16"	"Lrrfip2"	chr9	+	111173080	111173122	111182818	111182887	111161302	111161389	111188761	111188806
