Mff	chr1	+	82741817	82741976
Rps24	chr14	+	24495429	24495449
Egfl7	chr2	+	26590379	26590495
Scnm1	chr3	-	95130163	95130358
Fam49b	chr15	-	63956599	63956682
Fam49b	chr15	-	63956599	63956682
Jmjd6	chr11	-	116839837	116839926
Lrrfip2	chr9	+	111193046	111193118
Atp6v1c1	chr15	+	38677518	38677613
Ect2	chr3	-	27148794	27148887
Rrbp1	chr2	-	143988147	143990266
RP23-391M18.7	chr2	-	168212959	168213028
Cttn	chr7	-	144450977	144451088
Pdxdc1	chr16	-	13884565	13884631
Tpd52l2	chr2	+	181501904	181502053
Pkp4	chr2	+	59266387	59266500
Cnot2	chr10	-	116517316	116517383
Morf4l1	chr9	-	90103654	90103771
Ptov1	chr7	-	44864382	44864487
Adrbk1	chr19	-	4288411	4288507
Bptf	chr11	-	107095001	107095190
Spg7	chr8	+	123094473	123094640
Prkab1	chr5	-	116020003	116020118
Ints13	chr6	-	146574701	146574776
Topbp1	chr9	+	103335811	103335958
Ptbp1	chr10	+	79860116	79860194
Zfand3	chr17	+	30060809	30060850
Cald1	chr6	+	34747885	34747969
Cald1	chr6	+	34747891	34747969
Zc3h18	chr8	+	122387692	122387764
Morf4l2	chrX	-	136735545	136735622
Mettl16	chr11	+	74795751	74795817
Nsfl1c	chr2	+	151502454	151502460
Mtmr14	chr6	+	113277789	113277945
Sulf1	chr1	+	12850759	12850793
Nudt21	chr8	-	94022774	94022889
Atp13a3	chr16	-	30359668	30359749
Plekhj1	chr10	-	80797772	80797839
Plekhj1	chr10	-	80797772	80797977
Tarbp2	chr15	+	102519121	102519291
Rtel1	chr2	+	181341524	181341580
Dnajc24	chr2	-	105980981	105981120
Zscan10	chr17	+	23607123	23607388
Zscan10	chr17	+	23607123	23607388
Zscan10	chr17	+	23607579	23607644
Fip1l1	chr5	+	74547106	74547175
Smpd4	chr16	+	17625943	17626019
Gas5	chr1	+	161036207	161036244
Ap1g1	chr8	+	109830612	109830621
Zfp462	chr4	+	55023414	55023606
Fn1	chr1	-	71613762	71614035
Bpnt1	chr1	+	185338105	185338232
Slc29a1	chr17	-	45592178	45592261
Slc29a1	chr17	-	45592178	45592343
Slc29a1	chr17	-	45593331	45593432
Dnm1l	chr16	-	16318763	16318841
Enah	chr1	-	181911596	181911659
Brd8	chr18	-	34602202	34602247
Hnrnpa1	chr15	+	103242921	103243080
Impdh2	chr9	+	108563912	108563984
Lsr	chr7	-	30962810	30962867
Rian	chr12	+	109652700	109652715
Uap1	chr1	-	170147995	170148043
Uap1	chr1	-	170147995	170148046
Hnrnpa2b1	chr6	-	51461919	51462055
Nasp	chr4	-	116610402	116611377
Mprip	chr11	+	59772151	59772217
Mia2	chr12	+	59144698	59144770
Fam91a1	chr15	+	58442831	58442966
Ubr3	chr2	+	70003353	70003459
Dlgap5	chr14	-	47389411	47389458
Hnrnpf	chr6	+	117919098	117919159
Rbm33	chr5	+	28342394	28342514
Odf2	chr2	+	29893000	29893154
Odf2	chr2	+	29893037	29893154
Wac	chr18	+	7910515	7910824
Usp37	chr1	-	74459914	74459980
Actn1	chr12	-	80170182	80170248
Fat1	chr8	+	45049841	45049877
Tra2a	chr6	-	49252802	49253108
Ap1ar	chr3	-	127820759	127820785
Ssr2	chr3	+	88576238	88576381
Psme3	chr11	+	101317622	101317727
Diaph1	chr18	-	37906387	37906414
Dda1	chr8	+	71473774	71473836
Setd5	chr6	+	113105916	113106141
Kif20a	chr18	+	34629140	34629284
Ywhaz	chr15	-	36793478	36793675
Ptprf	chr4	-	118218011	118218044
Naa40	chr19	-	7229947	7230106
Mettl6	chr14	-	31482790	31482932
Smarce1	chr11	-	99228496	99228548
Sptan1	chr2	+	30028643	30028706
Dppa4	chr16	+	48289327	48289378
Inppl1	chr7	-	101823512	101823646
Mis18bp1	chr12	-	65161402	65162028
Nf2	chr11	-	4780577	4780622
Eif4a2	chr16	+	23109119	23109259
Cyfip1	chr7	+	55898237	55898391
Tmem39a	chr16	+	38575742	38575826
Pkm	chr9	+	59675567	59675734
Nudt1	chr5	+	140332422	140332473
Med25	chr7	-	44891782	44891907
Tbp	chr17	+	15514229	15514397
Mapk1	chr16	+	17026357	17026489
Cnih4	chr1	+	181162074	181162215
Pcgf2	chr11	-	97699205	97699300
Spats2	chr15	+	99174401	99174451
Smc5	chr19	-	23215154	23215199
Ppp1cc	chr5	+	122171821	122171926
Ube2k	chr5	+	65565988	65566082
Tpm1	chr9	-	67031950	67032026
Tpm1	chr9	-	67048123	67048249
Clk3	chr9	-	57758626	57758723
