ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"ENSMUSG00000025470.11"	"Zfp511"	chr7	+	140039325	140040602	140039325	140039445	140040242	140040602	3	7,5,0,0	28,7,10,0	7,0,3,0	11,10,4,7	78	39	1	1.0	0.111,0.263,0.0,NA	0.241,0.0,0.273,0.0	-0.004
5	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126233892	126234236	126233892	126233997	126234097	126234236	5	0,3,0,0	20,27,31,20	0,2,1,0	25,52,25,20	78	39	1	1.0	0.0,0.053,0.0,0.0	0.0,0.019,0.02,0.0	0.003
6	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126236895	126237278	126236895	126237059	126237155	126237278	6	22,11,49,41	3,2,17,7	56,37,17,6	3,10,3,7	78	39	0.974450908954	1.0	0.786,0.733,0.59,0.745	0.903,0.649,0.739,0.3	0.066
7	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78991328	78993432	78991328	78991438	78992903	78993432	7	0,0,0,0	31,34,45,14	0,0,0,1	22,15,11,24	78	39	1	1.0	0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.02	-0.005
8	"ENSMUSG00000035458.15"	"Tnni3"	chr7	-	4521815	4522082	4521815	4521902	4522069	4522082	8	0,0,0,7	6,0,0,0	1,0,0,0	8,0,0,0	78	39	1	1.0	0.0,NA,NA,1.0	0.059,NA,NA,NA	0.441
9	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92342245	92345101	92342245	92342412	92344955	92345101	9	0,0,0,0	13,10,0,0	0,0,0,1	5,5,1,16	78	39	1	1.0	0.0,0.0,NA,NA	0.0,0.0,0.0,0.03	-0.007
11	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697696	130698743	130697696	130698085	130698678	130698743	11	0,0,2,0	3,8,4,0	0,0,0,0	3,0,0,0	78	39	1	1.0	0.0,0.0,0.2,NA	0.0,NA,NA,NA	0.067
12	"ENSMUSG00000025731.15"	"RP23-356J2.10"	chr17	+	25876660	25877169	25876660	25876739	25876949	25877169	12	17,15,18,35	4,13,4,4	8,29,9,12	8,3,5,9	78	39	0.312063067278	0.845477266452	0.68,0.366,0.692,0.814	0.333,0.829,0.474,0.4	0.129
14	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895378	70895709	70895378	70895507	70895599	70895709	14	16,8,20,15	2847,1488,2250,1336	17,0,11,16	1829,2257,1583,2043	78	39	1	1.0	0.003,0.003,0.004,0.006	0.005,0.0,0.003,0.004	0.001
15	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895599	70896045	70895599	70895709	70895915	70896045	15	100,54,71,51	4207,2297,3257,2055	52,58,41,65	2314,2470,1956,2762	78	39	0.83042716963	1.0	0.012,0.012,0.011,0.012	0.011,0.012,0.01,0.012	0.001
16	"ENSMUSG00000003437.14"	"Paf1"	chr7	+	28395417	28395695	28395417	28395539	28395628	28395695	16	1,0,0,0	24,19,53,28	0,1,0,0	36,23,24,27	78	39	1	1.0	0.02,0.0,0.0,0.0	0.0,0.021,0.0,0.0	-0.0
17	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65589004	65589604	65589004	65589137	65589450	65589604	17	1,2,0,0	0,3,0,0	0,5,0,8	2,0,0,0	78	39	1	1.0	1.0,0.25,NA,NA	0.0,1.0,NA,1.0	-0.042
18	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145126092	145127890	145126092	145126225	145127830	145127890	18	0,2,0,0	0,5,0,5	0,0,0,0	0,1,1,0	78	39	1	1.0	NA,0.167,NA,0.0	NA,0.0,0.0,NA	0.084
19	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145145875	145148616	145145875	145145953	145148530	145148616	19	0,0,3,0	1,0,0,0	3,0,0,0	2,0,0,0	78	39	1	1.0	0.0,NA,1.0,NA	0.429,NA,NA,NA	0.071
22	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915729	26915954	26916006	22	7,0,5,1	13,4,15,5	5,4,2,4	4,0,10,9	78	39	0.174265660197	0.586718694164	0.212,0.0,0.143,0.091	0.385,1.0,0.091,0.182	-0.303
23	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915749	26915954	26916006	23	9,0,0,1	0,0,5,0	3,4,1,0	0,0,0,5	78	39	1	1.0	1.0,NA,0.0,1.0	1.0,1.0,1.0,0.0	-0.083
24	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915769	26915954	26916006	24	10,0,0,0	9,2,0,3	3,6,1,0	0,2,0,0	78	39	1	1.0	0.357,0.0,NA,0.0	1.0,0.6,1.0,NA	-0.748
25	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35728057	35730994	35728057	35728128	35729110	35730994	25	36,11,21,19	2,0,1,0	21,28,9,20	0,3,0,6	78	39	1	1.0	0.9,1.0,0.913,1.0	1.0,0.824,1.0,0.625	0.091
27	"ENSMUSG00000034744.13"	"Nagk"	chr6	+	83796906	83797275	83796906	83796991	83797176	83797275	27	1,7,6,0	1,1,13,0	0,0,4,1	1,6,4,0	78	39	1	1.0	0.333,0.778,0.188,NA	0.0,0.0,0.333,1.0	0.1
28	"ENSMUSG00000002833.11"	"Hdgfrp2"	chr17	+	56098973	56099387	56098973	56099075	56099176	56099387	28	7,3,20,5	84,63,70,78	17,22,4,3	59,58,55,80	78	39	0.106891516861	0.432946512924	0.04,0.023,0.125,0.031	0.126,0.159,0.035,0.018	-0.03
29	"ENSMUSG00000020372.15"	"Gnb2l1"	chr11	+	48801662	48802420	48801662	48801834	48802272	48802420	29	159,61,97,50	3151,1896,2306,1622	103,91,53,75	1719,1884,1524,1973	78	39	0.25557053773	0.750544133918	0.025,0.016,0.021,0.015	0.029,0.024,0.017,0.019	-0.003
32	"ENSMUSG00000053553.11"	"3110082I17Rik"	chr5	-	139359738	139361388	139359738	139360730	139361306	139361388	32	10,10,6,12	55,28,41,48	6,7,0,8	11,47,31,45	78	39	0.209052397249	0.660539904397	0.083,0.152,0.068,0.111	0.214,0.069,0.0,0.082	0.012
33	"ENSMUSG00000074272.10"	"Ceacam1"	chr7	-	25464848	25466437	25464848	25464880	25466316	25466437	33	2,0,0,0	2,5,0,0	0,0,0,0	2,0,1,0	78	39	1	1.0	0.333,0.0,NA,NA	0.0,NA,0.0,NA	0.167
34	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8743079	8743423	8743079	8743135	8743352	8743423	34	2,0,6,3	13,10,14,6	4,7,0,0	10,19,12,20	78	39	0.540336750283	1.0	0.071,0.0,0.176,0.2	0.167,0.156,0.0,0.0	0.031
35	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8748654	8748888	8748654	8748711	8748806	8748888	35	10,2,0,3	30,24,25,22	4,21,6,0	16,21,16,14	78	39	0.0123230981665	0.101183533925	0.143,0.04,0.0,0.064	0.111,0.333,0.158,0.0	-0.089
36	"ENSMUSG00000018433.14"	"Nol11"	chr11	-	107180041	107181101	107180041	107180118	107180912	107181101	36	4,3,0,0	95,48,75,41	6,11,2,1	38,27,54,70	78	39	0.000445777987028	0.0106867030814	0.021,0.03,0.0,0.0	0.073,0.169,0.018,0.007	-0.054
38	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76593937	76594447	76593937	76594051	76594152	76594447	38	3,2,2,5	9,0,13,0	5,1,7,6	5,9,12,3	78	39	0.357607174543	0.917389712377	0.143,1.0,0.071,1.0	0.333,0.053,0.226,0.5	0.275
39	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76594152	76594447	76594152	76594284	76594363	76594447	39	1,0,0,3	11,1,6,4	0,3,2,0	4,9,1,7	78	39	0.908077137493	1.0	0.043,0.0,0.0,0.273	0.0,0.143,0.5,0.0	-0.082
40	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76594528	76594752	76594528	76594610	76594673	76594752	40	0,0,0,7	7,14,4,11	1,0,2,5	6,20,7,16	78	39	0.657496761698	1.0	0.0,0.0,0.0,0.241	0.077,0.0,0.125,0.135	-0.024
41	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76595013	76595453	76595013	76595266	76595336	76595453	41	5,0,0,0	14,3,10,3	0,0,0,6	12,5,3,9	78	39	0.73335338707	1.0	0.152,0.0,0.0,0.0	0.0,0.0,0.0,0.25	-0.025
42	"ENSMUSG00000060950.12"	"Trmt61a"	chr12	+	111678104	111678962	111678104	111678161	111678602	111678962	42	30,15,14,18	4,5,1,3	13,16,12,20	7,11,4,7	78	39	0.00597909669429	0.0661818061799	0.789,0.6,0.875,0.75	0.481,0.421,0.6,0.588	0.231
44	"ENSMUSG00000062175.13"	"Tgif2"	chr2	+	156853128	156855570	156853128	156853228	156853345	156855570	44	56,8,35,19	1,9,15,0	29,43,28,14	7,4,4,4	78	39	0.969143899796	1.0	0.966,0.308,0.538,1.0	0.674,0.843,0.778,0.636	-0.03
46	"ENSMUSG00000056724.14"	"Nbeal2"	chr9	-	110628393	110628749	110628393	110628503	110628618	110628749	46	0,0,0,0	3,3,7,0	0,7,2,0	8,0,2,5	78	39	1	1.0	0.0,0.0,0.0,NA	0.0,1.0,0.333,0.0	-0.333
47	"ENSMUSG00000066150.12"	"Slc31a1"	chr4	+	62387866	62391769	62387866	62388035	62388597	62391769	47	0,3,0,3	26,15,14,11	4,0,3,0	26,24,17,30	78	39	0.907719259914	1.0	0.0,0.091,0.0,0.12	0.071,0.0,0.081,0.0	0.015
49	"ENSMUSG00000004947.15"	"Dtx2"	chr5	+	136026469	136028572	136026469	136026607	136028501	136028572	49	5,0,0,0	0,0,0,0	1,3,0,0	1,0,0,0	78	39	1	1.0	1.0,NA,NA,NA	0.333,1.0,NA,NA	0.334
50	"ENSMUSG00000029670.12"	"Ing3"	chr6	+	21969277	21970107	21969277	21969435	21969913	21970107	50	4,11,0,6	31,46,13,22	2,7,2,16	23,21,10,31	78	39	0.139571721965	0.513606915889	0.061,0.107,0.0,0.12	0.042,0.143,0.091,0.205	-0.048
51	"ENSMUSG00000035772.11"	"Mrps2"	chr2	+	28468242	28468950	28468242	28468359	28468820	28468950	51	2,0,0,0	84,78,72,34	0,0,0,0	37,88,38,44	78	39	1	1.0	0.012,0.0,0.0,0.0	0.0,0.0,0.0,0.0	0.003
52	"ENSMUSG00000024908.15"	"Ppp6r3"	chr19	-	3483527	3487091	3483527	3484916	3486975	3487091	52	0,0,4,0	58,44,89,45	0,0,1,2	65,60,42,57	78	39	1	1.0	0.0,0.0,0.022,0.0	0.0,0.0,0.012,0.017	-0.002
57	"ENSMUSG00000039308.6"	"Ndst2"	chr14	-	20724460	20724820	20724460	20724563	20724710	20724820	57	5,3,0,0	0,7,9,5	0,7,3,2	3,5,5,1	78	39	0.191298441702	0.624046538201	1.0,0.176,0.0,0.0	0.0,0.412,0.231,0.5	0.008
58	"ENSMUSG00000039308.6"	"Ndst2"	chr14	-	20724460	20724820	20724460	20724563	20724747	20724820	58	9,1,7,6	1,0,0,0	2,10,10,7	0,0,0,0	78	39	1	1.0	0.818,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.045
