ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSMUSG00000041346.11"	"Wrap53"	chr11	-	69563303	69563436	69563319	69563436	69562648	69562857	4	40,17,32,18	5,1,0,0	11,6,7,33	1,3,1,0	55	39	0.894873543278	1.0	0.85,0.923,1.0,1.0	0.886,0.586,0.832,1.0	0.117
5	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126240022	126240137	126240031	126240137	126238521	126238632	5	0,0,6,3	0,0,0,0	0,21,2,5	0,2,0,0	48	39	1	1.0	NA,NA,1.0,1.0	NA,0.895,1.0,1.0	0.035
6	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78948180	78948413	78948180	78948338	78950903	78951055	6	0,4,0,7	0,0,5,2	4,1,0,1	0,0,0,0	114	39	1	1.0	NA,1.0,0.0,0.545	1.0,1.0,NA,1.0	-0.485
13	"ENSMUSG00000006386.15"	"Tek"	chr4	+	94851722	94851877	94851722	94851874	94853368	94853579	13	6,7,0,0	6,0,1,4	0,0,0,5	1,0,0,0	42	39	1	1.0	0.481,1.0,0.0,0.0	0.0,NA,NA,1.0	-0.13
15	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130714455	130714575	130714465	130714575	130708075	130708201	15	4,0,0,0	11,0,2,0	0,0,0,0	2,10,9,2	49	39	1	1.0	0.224,NA,0.0,NA	0.0,0.0,0.0,0.0	0.112
16	"ENSMUSG00000039795.14"	"Zfand1"	chr3	-	10351168	10351317	10351241	10351317	10348509	10348552	16	2,0,0,0	0,6,1,2	3,0,2,0	3,7,2,5	112	39	0.64279838009	1.0	1.0,0.0,0.0,0.0	0.258,0.0,0.258,0.0	0.121
18	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896312	70896145	70896312	70895915	70896045	18	4733,2421,3281,2214	0,1,0,0	2434,2896,2171,2913	0,0,0,0	52	39	1	1.0	1.0,0.999,1.0,1.0	1.0,1.0,1.0,1.0	-0.0
27	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35643887	35644124	35643887	35643991	35661491	35661625	27	0,0,0,1	0,0,0,0	0,0,0,0	0,0,1,0	172	39	1	1.0	NA,NA,NA,1.0	NA,NA,0.0,NA	1.0
28	"ENSMUSG00000070953.13"	"Rabepk"	chr2	-	34797370	34797433	34797374	34797433	34795171	34795329	28	2,0,0,0	18,19,11,0	0,3,3,3	17,2,6,28	43	39	1	1.0	0.092,0.0,0.0,NA	0.0,0.576,0.312,0.089	-0.214
30	"ENSMUSG00000090112.8"	"Shprh"	chr10	+	11171872	11172001	11171872	11171994	11178733	11178822	30	4,0,6,0	30,14,13,3	0,0,2,0	16,8,18,7	46	39	0.00144400630359	0.0286812830928	0.102,0.0,0.281,0.0	0.0,0.0,0.086,0.0	0.074
33	"ENSMUSG00000019820.11"	"Utrn"	chr10	-	12765238	12765332	12765270	12765332	12751494	12751587	33	0,0,0,0	3,8,2,1	0,3,0,0	13,8,5,7	71	39	1	1.0	0.0,0.0,0.0,0.0	0.0,0.171,0.0,0.0	-0.043
34	"ENSMUSG00000062012.14"	"Zfp13"	chr17	-	23581056	23581270	23581077	23581270	23580770	23580862	34	28,14,11,5	1,2,0,0	10,6,3,20	0,0,0,4	60	39	0.672487354179	1.0	0.948,0.82,1.0,1.0	1.0,1.0,1.0,0.765	0.001
35	"ENSMUSG00000038838.15"	"Vars2"	chr17	-	35657923	35658338	35658131	35658338	35657206	35657318	35	3,0,3,1	9,7,7,17	6,0,0,2	4,13,9,15	247	39	0.453200104848	1.0	0.05,0.0,0.063,0.009	0.191,0.0,0.0,0.021	-0.022
37	"ENSMUSG00000053110.13"	"Yap1"	chr9	-	7962282	7962402	7962288	7962402	7952952	7953134	37	16,0,5,10	102,70,89,46	0,0,0,8	64,70,36,86	45	39	0.000295579741581	0.0102618282654	0.12,0.0,0.046,0.159	0.0,0.0,0.0,0.075	0.062
38	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8743352	8743502	8743352	8743423	8748460	8748577	38	5,0,2,0	7,22,15,12	1,0,0,5	12,11,14,2	118	39	0.665132026277	1.0	0.191,0.0,0.042,0.0	0.027,0.0,0.0,0.452	-0.062
39	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8748806	8748899	8748806	8748888	8749665	8749772	39	0,3,0,0	29,19,15,8	2,0,2,1	14,9,15,13	50	39	0.325853778376	1.0	0.0,0.11,0.0,0.0	0.1,0.0,0.094,0.057	-0.035
40	"ENSMUSG00000020918.14"	"Kat2a"	chr11	-	100710249	100710636	100710444	100710636	100709382	100709489	40	14,14,1,23	132,69,117,39	1,22,7,4	74,59,61,72	234	39	0.437757102775	1.0	0.017,0.033,0.001,0.089	0.002,0.059,0.019,0.009	0.013
44	"ENSMUSG00000022906.15"	"Parp9"	chr16	+	35943368	35943510	35943368	35943402	35947500	35948354	44	7,4,4,0	5,2,16,7	5,7,12,10	2,8,4,0	147	39	0.00505185279718	0.0645915464782	0.271,0.347,0.062,0.0	0.399,0.188,0.443,1.0	-0.338
46	"ENSMUSG00000060950.12"	"Trmt61a"	chr12	+	111678104	111678300	111678104	111678161	111678602	111678962	46	29,20,18,13	4,5,1,3	12,24,20,24	7,11,4,7	178	39	0.0511011966925	0.31406400714	0.614,0.467,0.798,0.487	0.273,0.323,0.523,0.429	0.204
50	"ENSMUSG00000039308.6"	"Ndst2"	chr14	-	20724710	20724820	20724747	20724820	20724460	20724563	50	7,7,16,11	1,0,0,0	5,8,13,8	0,0,0,0	76	39	1	1.0	0.782,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.054
51	"ENSMUSG00000026921.18"	"Egfl7"	chr2	+	26592117	26592280	26592117	26592241	26592417	26592681	51	61,32,48,19	0,0,4,0	27,38,17,30	0,2,0,0	78	39	0.776748760716	1.0	1.0,1.0,0.857,1.0	1.0,0.905,1.0,1.0	-0.012
